# target=instancias/dali.png T=240 iters=5000 K=32 seed=auto
iter	segundos	MSE
0	0.00246684	11521.3
1	0.0309277	11503.6
2	0.047479	11491.6
3	0.0635047	11488.5
4	0.0800157	11488.4
5	0.0960097	11443.1
7	0.1282	11432.1
8	0.145942	11402.7
9	0.162265	11395.1
10	0.178606	11383.1
11	0.19448	11330.1
12	0.210414	11319.6
13	0.22639	11238.9
14	0.242791	11226.7
15	0.25994	11173.6
16	0.276801	11166.8
17	0.292943	11154.9
18	0.310248	11053.2
19	0.327467	11039.6
20	0.344021	11034.3
21	0.361001	11022.4
22	0.377469	10968.2
23	0.393895	10926.4
24	0.410745	10848.5
25	0.428201	10826.2
26	0.444517	10767.9
27	0.460871	10746.2
28	0.47726	10730.5
29	0.493741	10726.1
30	0.511585	10726.1
31	0.528566	10725
32	0.545683	10691.8
33	0.562842	10688.7
34	0.580394	10565.8
35	0.598325	10558.2
36	0.615501	10545.1
37	0.632921	10519.1
38	0.651027	10498.6
39	0.668412	10493.5
40	0.684944	10486.5
41	0.702978	10474.8
42	0.720963	10474.7
43	0.737799	10474.5
44	0.755178	10462.3
45	0.771891	10460.6
46	0.789168	10385.2
47	0.806196	10384.4
48	0.8235	10273.9
49	0.840928	10235.6
50	0.857609	10215.9
51	0.874811	10214.2
52	0.894171	10209.3
53	0.914186	10195.2
54	0.932324	10122.1
55	0.951751	10119.6
56	0.979955	10119.5
57	1.00558	10108.7
58	1.03177	10077.9
59	1.05074	10067.6
60	1.08004	10052.1
61	1.10142	10051.1
62	1.12231	10050.5
63	1.14162	10044
64	1.17886	9999.97
65	1.19695	9982.93
66	1.21513	9950.75
67	1.23437	9941.11
68	1.25254	9938.42
69	1.27021	9921.66
70	1.28882	9842.7
71	1.30665	9827.01
72	1.32513	9787.64
73	1.34294	9764.01
74	1.36039	9706.28
75	1.37908	9685.54
76	1.39851	9682.88
77	1.41902	9681.96
78	1.44033	9678.49
79	1.46302	9677.89
80	1.48166	9670.1
81	1.49994	9499.24
82	1.51906	9498.07
83	1.53743	9494.97
84	1.55573	9444.29
85	1.57349	9430.98
86	1.59176	9416.05
87	1.60925	9389.62
88	1.62751	9382.09
89	1.64715	9373.94
90	1.66606	9372.06
91	1.68457	9358.18
92	1.70281	9349.07
93	1.72104	9229.51
94	1.74007	9204.5
95	1.75844	9204.07
96	1.77735	9182.67
97	1.7953	9178.64
98	1.8134	9173.09
99	1.83154	9165.87
100	1.85084	9165.11
101	1.87217	9148.47
102	1.89205	9145.02
103	1.91471	9101.47
104	1.93269	9101.44
105	1.95073	9086.78
106	1.96899	9023.31
107	1.98871	8995.87
108	2.00724	8981
109	2.02538	8949.62
110	2.04372	8937.36
111	2.06473	8936.29
112	2.08467	8875.2
113	2.10689	8785.04
114	2.12629	8738.24
115	2.14967	8736.13
116	2.17094	8719.19
117	2.19029	8715.29
118	2.20945	8631.48
119	2.22797	8588.64
120	2.24687	8584.82
121	2.26669	8574.81
122	2.28501	8562.01
123	2.30419	8560.88
124	2.32292	8556.68
125	2.34125	8555.73
126	2.35963	8528.96
127	2.37893	8526.69
128	2.39828	8524.65
129	2.41811	8524.58
130	2.43732	8515.55
131	2.4564	8486.52
132	2.4755	8441.97
133	2.49426	8438.45
134	2.51394	8366.23
135	2.53302	8217.23
136	2.55234	8189.63
137	2.5719	8162.96
138	2.59132	8162.82
139	2.61057	8148.52
140	2.62916	8144.6
141	2.64772	8144.41
142	2.66797	8141.2
143	2.68719	8136.57
144	2.70575	8110.1
145	2.72492	8108.74
146	2.74391	8102.16
147	2.76346	8102.16
148	2.78307	8090.91
149	2.80249	8063.42
150	2.82108	8054.54
151	2.8396	7978.6
152	2.85925	7897.21
153	2.87875	7879.26
154	2.89818	7878.12
155	2.91704	7862.52
156	2.93579	7862.21
157	2.95515	7862.16
158	2.9741	7861.41
159	2.9936	7861.31
160	3.0125	7855.61
161	3.03118	7839.61
162	3.04991	7838.36
163	3.0689	7827.04
164	3.08878	7772.38
165	3.10776	7756.85
166	3.12739	7754.45
167	3.1465	7748.02
168	3.16563	7735.92
169	3.18494	7735.68
170	3.20414	7653.14
171	3.22371	7652.79
172	3.24343	7636.14
173	3.26263	7623.01
174	3.2818	7610.57
175	3.30094	7573.64
176	3.3209	7542.53
177	3.34078	7519.98
178	3.36038	7518.14
179	3.37977	7457.49
180	3.40004	7427.57
181	3.41983	7427.31
182	3.43981	7397.26
183	3.45925	7393.71
184	3.47854	7392.27
185	3.49863	7390.87
186	3.51807	7378.45
187	3.53765	7279.73
188	3.55737	7268.73
189	3.57723	7261.26
190	3.59663	7259.97
191	3.61595	7245.24
192	3.63541	7240.08
193	3.65527	7232.15
194	3.6747	7193.57
195	3.69418	7190.72
196	3.7138	7168.31
197	3.73338	7096.72
198	3.75344	7094.56
199	3.77316	7076.41
200	3.79294	7057.1
201	3.8128	7054.03
202	3.83227	7015.42
203	3.85229	7015.14
204	3.87239	7011.26
205	3.89242	7004.19
206	3.91218	6951.45
207	3.93196	6896.7
208	3.95179	6895.48
209	3.97185	6891.96
210	3.99215	6880.34
211	4.01248	6879.02
212	4.03235	6851.92
213	4.05259	6848.44
214	4.07237	6845.71
215	4.09295	6845.37
216	4.11301	6838.58
217	4.13628	6832.85
218	4.15737	6829.86
219	4.18755	6817.66
220	4.20859	6816.92
221	4.22944	6810.08
222	4.24969	6798.25
223	4.26996	6798.2
224	4.29038	6797.92
225	4.31195	6792.47
227	4.35334	6789.91
228	4.37386	6786.83
229	4.39523	6785.92
230	4.41571	6760.99
231	4.43593	6740.24
232	4.45597	6722.22
233	4.47617	6714.58
234	4.49713	6626.09
235	4.51755	6624.86
236	4.53803	6591.2
237	4.55863	6584.57
238	4.57973	6583.62
239	4.60032	6578.63
240	4.62081	6574.69
241	4.64126	6571.41
242	4.66199	6560.61
243	4.68283	6559.68
245	4.7245	6525.07
247	4.76641	6520.94
248	4.78692	6487.31
249	4.80784	6479.71
250	4.82906	6465.83
251	4.85043	6451.8
252	4.87124	6448.55
253	4.89188	6411.53
254	4.91395	6408.15
255	4.93667	6402.06
256	4.95901	6394.9
257	4.98049	6385.23
258	5.00187	6328.52
259	5.02283	6308.76
260	5.04367	6303.84
261	5.06469	6301.49
262	5.08578	6282.69
263	5.1069	6237.99
264	5.13187	6234.1
265	5.1603	6216.37
266	5.18301	6211.81
267	5.20608	6187.37
268	5.22716	6175
269	5.25129	6174.88
270	5.28236	6174.88
271	5.30383	6172.17
272	5.32491	6162.33
273	5.34618	6160.66
274	5.36753	6129.21
275	5.38868	6126.27
276	5.40972	6122.97
277	5.43123	6081.17
278	5.45305	6074.32
279	5.47563	6071.09
280	5.49753	6068.49
281	5.52061	6067.83
282	5.54221	6050.09
283	5.56397	6050.09
284	5.58622	6036.23
286	5.62947	6012.54
287	5.65146	6009.05
288	5.67387	5965.48
289	5.69657	5931.79
290	5.71811	5919.67
291	5.73977	5918.73
292	5.76166	5918.64
293	5.78359	5899.47
294	5.80544	5870.26
295	5.82726	5852.18
296	5.84913	5852.16
297	5.87165	5843.22
298	5.89348	5834.8
299	5.91529	5787.24
300	5.93698	5781.6
301	5.95866	5780.43
302	5.98061	5780.22
303	6.00273	5774.22
304	6.02478	5765.68
305	6.04688	5749.17
306	6.06926	5748.31
307	6.09171	5745.36
308	6.11385	5740.65
309	6.13552	5734.91
310	6.15772	5710.7
311	6.1798	5683.1
312	6.20201	5665.03
313	6.22387	5664.55
314	6.24579	5617.99
315	6.26964	5615.38
316	6.29485	5614.66
317	6.32216	5613.45
318	6.34474	5612.77
319	6.36699	5612.44
320	6.3899	5600.08
321	6.41279	5539.63
322	6.43495	5537.96
323	6.45737	5536.82
324	6.47981	5523.76
325	6.50241	5512.07
326	6.52487	5508.71
327	6.54756	5488.26
328	6.56991	5473.88
