# target=instancias/klimt.png T=240 iters=5000 K=32 seed=auto
iter	segundos	MSE
0	0.00176903	8910.14
1	0.0183813	8897.58
2	0.0357061	8813.72
3	0.0524214	8793.11
4	0.0694638	8779.36
5	0.0860854	8758.46
6	0.104612	8683.16
7	0.121623	8634.6
8	0.138565	8612.41
9	0.155271	8611.45
10	0.172194	8604.97
11	0.189323	8569.98
12	0.207663	8557.33
13	0.224851	8551.46
14	0.241797	8541.57
15	0.25879	8532.55
16	0.275726	8512.22
17	0.292672	8508.81
18	0.310135	8481.13
19	0.327991	8454.6
20	0.345501	8433.81
21	0.362724	8397.35
22	0.380084	8386.07
23	0.400108	8367.68
24	0.418269	8342.49
25	0.435442	8338.42
26	0.452798	8310.49
27	0.470369	8298.06
28	0.488397	8293.04
29	0.507464	8235.38
30	0.525498	8210.14
31	0.543188	8204.78
32	0.560501	8176.83
33	0.578685	8162.3
34	0.596231	8150.67
35	0.615699	8125.69
36	0.633541	8124.47
37	0.652362	8115.67
38	0.66977	8099.38
39	0.687569	8091.07
40	0.70671	8026.69
41	0.724499	8026.04
42	0.742318	8023.59
43	0.760529	7995
44	0.778334	7992.01
45	0.796313	7975.42
46	0.815931	7967.81
47	0.834641	7957.32
48	0.852906	7908.47
49	0.870585	7899.41
50	0.888693	7890.88
51	0.909506	7868.04
52	0.927825	7861.75
53	0.94558	7845.48
54	0.963683	7842.6
55	0.982048	7799.39
56	1.00097	7765.96
57	1.02034	7758.65
58	1.03871	7722.84
59	1.05697	7722.8
60	1.07634	7716.18
61	1.09594	7703.75
62	1.11625	7698.7
63	1.1351	7681.11
64	1.15386	7665.88
65	1.17444	7637.84
66	1.19321	7622.87
67	1.21175	7616.05
68	1.22994	7601.4
69	1.24872	7597.33
70	1.26751	7564.04
71	1.28669	7553.5
72	1.30496	7548.71
73	1.32341	7545.64
74	1.34154	7484.9
75	1.36011	7469.93
76	1.37935	7426.03
77	1.39884	7423.88
78	1.41836	7415.44
79	1.43768	7391.47
80	1.45688	7362.53
81	1.47747	7345.51
82	1.49605	7326.93
83	1.51488	7271.31
84	1.53342	7242.46
85	1.55232	7180.69
86	1.57136	7179.78
87	1.59261	7172.87
88	1.61274	7135.52
89	1.63259	7130.2
90	1.65391	7125.67
91	1.67366	7094.68
92	1.69589	7088.78
93	1.71486	7053.54
94	1.73413	7048.33
95	1.75338	7028.84
96	1.77374	7008.07
97	1.79276	6994.96
98	1.81195	6983.05
99	1.83134	6974.91
100	1.8505	6960.91
101	1.87069	6938.87
102	1.90589	6920.36
103	1.93759	6895.29
104	1.96333	6884.35
105	1.98762	6855.48
106	2.01138	6832.35
107	2.0472	6821.73
108	2.0727	6786.61
109	2.10569	6764.63
110	2.13835	6748.93
111	2.15919	6726
112	2.17974	6719.12
113	2.19982	6719.05
114	2.22099	6708.7
115	2.24085	6658.17
116	2.26056	6653.04
117	2.28134	6623.25
118	2.30196	6606.56
119	2.32318	6602.8
120	2.34442	6581.84
121	2.36416	6546.04
122	2.38387	6529.76
123	2.40346	6413.56
124	2.42464	6407.06
125	2.44557	6389.04
126	2.46554	6385.09
127	2.48532	6382.52
128	2.50558	6380.93
129	2.52699	6374.12
130	2.54878	6362.55
131	2.56869	6355.03
132	2.58867	6353.93
133	2.60848	6340.78
134	2.62882	6335.49
135	2.65273	6333.5
136	2.67337	6328.14
137	2.69551	6289.89
138	2.71995	6281.82
139	2.74003	6267.87
140	2.76031	6261.48
141	2.78101	6260.6
142	2.802	6245.58
143	2.82421	6245.37
144	2.84476	6243.79
145	2.86634	6241.89
146	2.88675	6240.85
147	2.90749	6227.59
148	2.93137	6195.03
149	2.95335	6164.2
150	2.97367	6163.5
151	2.99634	6142.42
152	3.01902	6134.04
153	3.04294	6113.29
154	3.06808	6108.2
155	3.09973	6089.3
156	3.13436	6088.8
157	3.17066	6088.59
158	3.19657	6084.39
159	3.22415	6077.97
160	3.24772	6064.74
161	3.27034	6056.49
162	3.29373	6018.05
163	3.31493	6015.13
164	3.33602	6001.58
165	3.35665	5929.43
166	3.37747	5919.98
167	3.40155	5894.1
168	3.42292	5888.2
169	3.4435	5876.36
170	3.46437	5860.76
171	3.48737	5859.25
172	3.50893	5854.42
173	3.53304	5853.94
174	3.55405	5827.65
175	3.57538	5815.61
176	3.59987	5809.81
177	3.62147	5793.75
178	3.6424	5782.15
179	3.66511	5755.77
180	3.68669	5754.86
181	3.70775	5710.73
182	3.72883	5686.71
183	3.75041	5683.45
184	3.77437	5673.49
185	3.79604	5671.45
186	3.8176	5670.88
187	3.84108	5669.54
188	3.86391	5665.53
189	3.88492	5665.03
190	3.90685	5650.57
191	3.93031	5638.1
192	3.95212	5630.2
193	3.9738	5621.78
194	3.99487	5620.4
195	4.01683	5604.1
196	4.04027	5602.01
197	4.06273	5598.48
198	4.08449	5595.82
199	4.1067	5588.53
200	4.12997	5572.54
201	4.15168	5570.5
202	4.17302	5545.61
203	4.19467	5532.14
204	4.21629	5517.19
205	4.23796	5503.84
206	4.2594	5502.6
207	4.28172	5405.82
208	4.30412	5405.21
209	4.32983	5402.69
210	4.35265	5385.66
211	4.37625	5382.05
212	4.39989	5368.07
213	4.42165	5366.25
214	4.4434	5363.22
215	4.46515	5329.95
216	4.48678	5328.9
217	4.51061	5310.94
218	4.53436	5302.68
219	4.55692	5293.7
220	4.57901	5278.62
221	4.60072	5271.16
222	4.62289	5267.75
223	4.64576	5263.76
224	4.66807	5256.93
225	4.68979	5237.82
226	4.71364	5229.94
227	4.73563	5183.69
228	4.7579	5166.36
229	4.78125	5166.04
230	4.80367	5164.55
231	4.82647	5164.21
232	4.84897	5163.8
233	4.87495	5123.64
234	4.89854	5120.95
235	4.92199	5119.22
236	4.94488	5110.15
237	4.96704	5026.68
238	4.98936	5025.74
239	5.01392	5023.78
240	5.03647	4985.25
241	5.0592	4983.1
242	5.08399	4961.41
243	5.10712	4953.57
244	5.12992	4946.14
245	5.15292	4937.12
246	5.17801	4914.24
247	5.20075	4890.41
248	5.22311	4871.37
249	5.24674	4870.58
250	5.26976	4862.38
251	5.29293	4841.54
252	5.31573	4802.79
253	5.33976	4799.1
254	5.3639	4791.07
255	5.38674	4787.61
256	5.40942	4783.69
257	5.43272	4781.38
258	5.4564	4763.49
259	5.47988	4756
260	5.50285	4743.11
261	5.5264	4730.73
262	5.55173	4724.25
263	5.57499	4719.65
264	5.59939	4711.21
265	5.6232	4709.15
266	5.64628	4704.03
267	5.66974	4703.23
268	5.69295	4701.31
269	5.7366	4699.04
270	5.80108	4697.71
271	5.84562	4693.87
272	5.8823	4664.01
273	5.91146	4663.67
274	5.93978	4659.99
275	5.97695	4656.92
276	6.00143	4651.67
277	6.02596	4634.73
278	6.05133	4631.37
279	6.07488	4629.8
280	6.09834	4600.59
281	6.12245	4600.05
282	6.14694	4596.91
283	6.17047	4554.27
284	6.19419	4550.61
285	6.22018	4539.9
286	6.24547	4521.46
287	6.26905	4517.37
288	6.29268	4498.4
289	6.32297	4488.33
290	6.35646	4484.82
291	6.38041	4469.76
292	6.40443	4460.78
293	6.42853	4458.12
294	6.45497	4456.79
295	6.47905	4416.92
296	6.505	4410.59
297	6.53056	4393.12
298	6.55611	4352.48
299	6.58095	4350.91
300	6.60579	4333.21
301	6.62971	4329.58
302	6.65398	4328.04
303	6.67964	4305.86
304	6.70612	4291.83
305	6.73002	4272.77
306	6.75441	4268.84
307	6.77896	4264
308	6.80373	4248.23
309	6.83037	4247.69
310	6.85471	4230.58
311	6.8801	4227.98
312	6.90433	4220.48
313	6.93044	4219.63
314	6.95459	4165.94
315	6.97825	4165.44
316	7.00224	4158.41
317	7.02799	4156.43
318	7.05191	4148.45
319	7.07559	4128.42
320	7.09937	4102.81
321	7.12302	4094.88
322	7.14657	4090.44
323	7.17285	4069.1
324	7.19943	4050.5
325	7.22647	4047.51
326	7.25383	4043.51
327	7.28099	4041.26
328	7.3074	4037.22
329	7.33366	4036.34
330	7.35831	4035.71
331	7.39437	4029.48
332	7.42345	4026.85
333	7.44814	4010.63
334	7.47267	4007.18
335	7.49854	4000.93
336	7.52334	3994.84
337	7.54884	3948.69
338	7.57348	3944.84
339	7.59929	3935.11
340	7.62386	3931.26
341	7.64981	3922.64
342	7.6749	3914.32
343	7.69963	3871.11
344	7.72736	3867.28
345	7.75164	3865.12
346	7.7767	3846.17
347	7.80149	3836.59
348	7.82762	3802.22
349	7.8524	3796.31
350	7.87836	3791.11
351	7.903	3784.99
352	7.92808	3782.69
353	7.95474	3782.52
354	7.9797	3776.3
355	8.00632	3766.66
356	8.0311	3759.82
357	8.05797	3756.4
358	8.0838	3746.74
359	8.10903	3739.35
360	8.13392	3736.18
361	8.16035	3724.64
362	8.1864	3714.97
363	8.21151	3691.97
364	8.23656	3691.38
365	8.26286	3691.22
366	8.29029	3675.14
367	8.31605	3667.17
368	8.34152	3662.99
369	8.36672	3662.48
370	8.39198	3646.05
371	8.4172	3643.76
372	8.44321	3631.11
373	8.46872	3610.61
374	8.49498	3604.82
375	8.52217	3601.7
376	8.55179	3600.33
377	8.57934	3598.06
378	8.60683	3597.53
379	8.63446	3580.42
380	8.66458	3573.08
381	8.69256	3571.34
382	8.71956	3554.84
383	8.7464	3554.42
384	8.77273	3551.38
385	8.799	3547.86
386	8.82821	3547.64
387	8.85533	3546
388	8.88114	3524.06
389	8.90804	3522.83
390	8.9341	3522.77
391	8.96055	3516.94
392	8.98713	3512.01
393	9.01327	3503.8
394	9.0391	3483.54
395	9.06501	3479.91
396	9.09074	3479.41
397	9.11714	3479.32
398	9.14282	3468.7
399	9.16863	3461.76
400	9.19467	3446.44
401	9.22242	3446.21
402	9.24809	3442.7
403	9.27385	3441.14
404	9.30173	3439.83
405	9.32734	3420.56
406	9.35353	3420.14
407	9.37936	3417.48
408	9.4054	3417
409	9.43241	3413.78
410	9.45929	3412.81
411	9.48912	3406.21
412	9.51594	3404.83
413	9.54225	3403.97
414	9.57042	3403.2
415	9.59802	3396.89
416	9.62553	3393.57
417	9.65321	3370.39
418	9.68076	3362.35
419	9.70718	3340.89
420	9.73403	3336.78
421	9.76231	3312
422	9.78847	3302.59
423	9.81483	3299.92
424	9.84243	3298.54
425	9.86889	3298.51
426	9.895	3298.14
427	9.92275	3297.9
428	9.94936	3297.44
429	9.9782	3296.53
430	10.0049	3264.78
431	10.0315	3259.31
432	10.0586	3257.08
433	10.0859	3251.27
434	10.1131	3250.3
435	10.1419	3243.26
436	10.1705	3242.6
437	10.1977	3242.39
438	10.2243	3240.04
439	10.2538	3239.56
440	10.2803	3238.57
441	10.3075	3237.13
442	10.3346	3230.82
443	10.3627	3227.73
444	10.3894	3226.3
445	10.4173	3222.48
446	10.4447	3221.94
447	10.4713	3214.18
448	10.4979	3213.48
449	10.5248	3204.74
450	10.5533	3200.07
451	10.58	3198.58
452	10.6068	3186.87
453	10.6348	3185.72
454	10.6641	3184.55
455	10.691	3163.15
456	10.718	3162.39
457	10.7465	3159.28
458	10.7733	3159.19
459	10.8006	3158.36
460	10.8288	3136.88
461	10.8567	3117.68
462	10.8862	3112.29
463	10.9148	3106.16
464	10.9466	3102.3
465	10.9768	3094.18
466	11.0044	3089.46
467	11.0322	3086.95
