# target=instancias/mondriaan.png T=240 iters=5000 K=32 seed=auto
iter	segundos	MSE
0	0.00182028	6751.23
1	0.0190915	6736.62
2	0.0362545	6628.63
3	0.0538953	6591.68
4	0.0720316	6577.02
5	0.0900376	6565.43
6	0.107502	6522.82
7	0.12516	6522.5
8	0.142734	6520.37
10	0.17867	6520.13
11	0.196165	6513.82
12	0.214188	6452.92
13	0.231988	6431.89
14	0.24959	6401.14
15	0.267273	6375.38
16	0.285382	6370.97
17	0.303612	6369.71
18	0.321398	6369.64
19	0.33918	6368.04
20	0.356923	6360.96
21	0.375003	6347.08
22	0.392847	6334.12
23	0.410812	6316.4
24	0.428757	6306.64
25	0.446622	6298.27
26	0.464419	6269.01
27	0.482247	6252.7
28	0.50038	6252.39
29	0.51869	6252.35
30	0.536957	6252.19
31	0.554847	6244.48
32	0.572864	6244.48
33	0.590768	6227.77
34	0.609095	6220.77
35	0.628276	6220.72
36	0.646817	6219.96
37	0.665214	6218.98
38	0.685791	6200.82
39	0.715812	6190.04
40	0.74176	6189.93
41	0.763824	6181.83
42	0.784168	6180.03
43	0.802339	6148.35
44	0.820444	6084.97
45	0.838688	6069.65
46	0.856978	6068.95
47	0.875448	6066.44
48	0.894074	6066.26
49	0.912572	6061.28
50	0.93119	6059.8
51	0.949677	6052.01
52	0.968396	6039.04
53	0.986768	6026.05
54	1.00541	5942.38
55	1.02373	5924.86
56	1.04242	5892.52
57	1.06185	5877.32
58	1.08027	5873.08
59	1.09891	5857.72
60	1.11773	5824.14
61	1.1371	5824.13
62	1.15649	5823.58
63	1.17593	5808.55
64	1.19462	5797.05
65	1.21354	5787.94
66	1.23254	5775.24
67	1.25142	5755.08
68	1.27063	5752.16
69	1.29004	5740.87
70	1.30953	5740.7
71	1.32867	5698.96
72	1.34815	5698.9
73	1.36789	5698.72
74	1.3875	5697.92
75	1.40667	5686.91
76	1.427	5674.81
77	1.44658	5674.72
78	1.46617	5670.49
79	1.48602	5661.87
80	1.507	5661.42
81	1.52684	5629.61
82	1.54582	5609.87
83	1.56488	5574.08
84	1.58466	5573.38
85	1.60464	5567.62
86	1.6245	5567.55
87	1.64397	5540.75
88	1.66409	5539.67
89	1.68386	5539.42
90	1.70381	5538.79
91	1.72371	5537.07
92	1.7429	5496.75
93	1.76261	5450.1
94	1.78631	5417.72
95	1.81625	5404.37
96	1.83576	5404.23
97	1.85538	5403.96
98	1.87489	5356.95
99	1.89504	5344.11
100	1.91521	5341.73
101	1.93565	5340.04
102	1.95557	5328.29
103	1.97578	5328.28
104	1.99561	5277.46
105	2.01595	5277.01
106	2.03569	5271.91
107	2.05538	5261.47
108	2.07516	5240.52
110	2.11484	5229.9
111	2.13478	5229.84
112	2.1547	5165.2
113	2.17438	5148.6
114	2.19427	5147.88
115	2.21401	5146.87
116	2.23395	5143.77
117	2.25405	5143.63
118	2.27392	5087.74
119	2.29434	4998.08
120	2.31486	4987.75
121	2.33563	4958.11
122	2.35572	4958.11
123	2.37612	4912.89
124	2.39665	4909.85
125	2.41765	4849.13
126	2.43845	4808.61
127	2.45936	4808.61
128	2.4798	4808.23
129	2.5	4807.9
130	2.52069	4803.98
131	2.54238	4803.68
132	2.56291	4786.63
133	2.58428	4777.29
134	2.60561	4773.85
135	2.62656	4772.49
136	2.64703	4768.18
137	2.66796	4738.36
138	2.68839	4738.28
139	2.70959	4734.3
140	2.73152	4734.27
141	2.75254	4698.21
142	2.77522	4698.11
143	2.79762	4679.72
144	2.81923	4679.09
145	2.84115	4679.08
146	2.86497	4675.9
147	2.88631	4665.27
148	2.90857	4665.03
149	2.93013	4641.43
150	2.9516	4641.37
151	2.97242	4633.61
152	2.99335	4633.58
153	3.01423	4623.36
154	3.03532	4623.33
155	3.05613	4619.46
156	3.07925	4609.05
157	3.10651	4590.35
158	3.12783	4577.37
159	3.14939	4577.29
160	3.17078	4572.29
161	3.19293	4572.29
162	3.21453	4569.66
163	3.23752	4532.6
164	3.26166	4441.46
165	3.28287	4439.13
166	3.30472	4371.33
167	3.32727	4369.79
168	3.34971	4356.41
169	3.37137	4352.56
170	3.39414	4344.74
171	3.41736	4328.6
172	3.4515	4328.19
173	3.48761	4327.79
174	3.53068	4306.47
175	3.56244	4286.88
176	3.586	4281.76
177	3.60818	4271.26
178	3.63492	4265.21
179	3.66058	4231.04
180	3.6837	4230.27
181	3.70772	4208.79
182	3.73129	4192.17
183	3.75371	4185.5
184	3.78109	4172.37
185	3.80704	4135.49
186	3.83027	4120.46
187	3.8523	4100.56
188	3.87431	4034.13
189	3.89625	4033.84
190	3.92127	4031.97
191	3.94424	4030.73
192	3.96759	3988.9
193	3.98969	3981.07
194	4.01129	3945.49
195	4.03345	3937.04
196	4.05567	3899.4
197	4.07797	3899.22
198	4.09975	3895.08
199	4.12205	3895
200	4.14544	3894.34
201	4.16977	3893.1
202	4.19439	3892.9
203	4.21773	3859.49
204	4.2413	3839.58
205	4.26488	3839.45
206	4.28751	3835.19
207	4.31139	3817.86
208	4.33445	3808.17
209	4.35668	3808.13
210	4.38005	3806.45
211	4.40241	3798.16
212	4.42484	3794.46
213	4.44721	3794.35
214	4.46949	3794.13
215	4.49173	3793.77
216	4.51465	3786.82
217	4.53704	3777.51
218	4.55922	3776.13
219	4.58161	3765
220	4.60366	3763.84
221	4.62632	3763.82
222	4.64866	3759.08
223	4.67085	3758.65
224	4.69296	3757.85
225	4.71582	3757.82
226	4.73915	3754.06
227	4.76179	3724.25
228	4.78445	3724.23
229	4.8072	3677.25
230	4.82949	3677.21
231	4.85172	3674.53
232	4.87434	3674.27
233	4.89679	3673.83
234	4.91946	3653.7
235	4.9419	3638.72
236	4.96415	3638.4
237	4.98682	3637.36
238	5.00967	3626.57
239	5.03288	3626.19
240	5.0552	3584.09
241	5.07763	3578.6
242	5.1004	3545.88
243	5.13842	3501.01
244	5.17212	3495.55
245	5.19774	3491.67
246	5.22106	3440.1
247	5.24359	3439.85
248	5.26615	3428.66
250	5.31146	3428.64
251	5.33484	3427.22
252	5.358	3407.69
253	5.38075	3397.42
254	5.40491	3392.35
255	5.42762	3370.41
256	5.45105	3358
257	5.4739	3354.47
258	5.49675	3354.33
259	5.52026	3354.23
260	5.54315	3348.6
261	5.56622	3347.19
262	5.58942	3336.15
263	5.61347	3317.21
264	5.63709	3316.39
265	5.66126	3315.97
266	5.68474	3314.09
267	5.70771	3307.08
268	5.73135	3307.05
269	5.75542	3306.98
270	5.77956	3306.93
271	5.80342	3305.82
272	5.82873	3305.82
273	5.8533	3301.33
274	5.87697	3293.15
275	5.90082	3293.07
276	5.92477	3293.07
277	5.94838	3292.59
278	5.97199	3269.02
279	5.99587	3262.12
280	6.01976	3262.07
281	6.04312	3260.25
282	6.0665	3259.3
283	6.08987	3250.28
284	6.11317	3247.32
285	6.13752	3234.15
286	6.16343	3234.03
287	6.18873	3233.05
288	6.216	3233.02
289	6.23999	3221.09
290	6.26365	3219.75
291	6.28775	3218.6
292	6.31177	3206.07
293	6.33667	3199.84
294	6.3605	3180.06
295	6.38464	3165.36
296	6.40881	3127.2
297	6.43245	3122.19
298	6.456	3114.67
299	6.48014	3102.28
300	6.50509	3071.52
301	6.52864	3071.5
302	6.55237	3070.2
303	6.57625	3055.01
304	6.60065	3044
305	6.62468	3040.23
306	6.64862	3026
307	6.67445	3020.65
308	6.70027	3010.02
309	6.72448	2987.31
310	6.75241	2987.18
311	6.7763	2977.64
312	6.8001	2977.21
313	6.82586	2976.42
314	6.85248	2976.19
315	6.87686	2970.85
316	6.90092	2963.01
317	6.92532	2962.94
318	6.95031	2962.68
319	6.97493	2956.92
320	6.99907	2956.52
321	7.02378	2942.44
322	7.0482	2932.8
323	7.07335	2923.69
324	7.09763	2923.28
325	7.12271	2921.94
326	7.14801	2921.94
327	7.17301	2887.2
328	7.19721	2884.16
329	7.22297	2883.99
330	7.24755	2882.89
331	7.27232	2882.85
332	7.29689	2880.91
333	7.32114	2874.68
334	7.34556	2834.8
335	7.3711	2834.39
336	7.39566	2834.25
337	7.42004	2832.61
338	7.44444	2825.73
339	7.46951	2815.33
340	7.49438	2813.59
341	7.51925	2813.02
342	7.54411	2762.86
343	7.56871	2762.66
344	7.59405	2755.03
345	7.61864	2754.94
346	7.64404	2754.48
347	7.66855	2753.92
348	7.69348	2751.65
349	7.7269	2751.63
350	7.75648	2744.6
351	7.78136	2744.58
352	7.80635	2721.73
353	7.83111	2707.57
354	7.8563	2707.46
355	7.88129	2707.32
356	7.9068	2706.46
357	7.93198	2705.45
358	7.95717	2657.33
359	7.98254	2648.91
360	8.00879	2640.15
361	8.03579	2636.36
362	8.06095	2636.36
363	8.08606	2619.98
364	8.11168	2619.86
365	8.1368	2580.1
366	8.16312	2574.36
367	8.18832	2574.36
368	8.21373	2573.11
369	8.23872	2572.08
370	8.26384	2561.74
371	8.2893	2561.51
372	8.31596	2537.69
373	8.34159	2536.68
374	8.36691	2536.47
375	8.3927	2536.41
376	8.41863	2534.4
377	8.44431	2532.86
378	8.4698	2532.85
379	8.49493	2531.9
380	8.52021	2531.88
381	8.54594	2529.23
382	8.57106	2529.19
383	8.59705	2515.54
384	8.62311	2514.61
385	8.64865	2514.46
386	8.67423	2514.08
387	8.70054	2511.11
388	8.72623	2511.03
389	8.75231	2504.81
390	8.77862	2504.69
391	8.80438	2502.82
392	8.83081	2502.79
393	8.85613	2495.37
394	8.8827	2495.07
395	8.90863	2491.22
396	8.93429	2484.52
397	8.96016	2483.56
398	8.98641	2480.7
399	9.01247	2480.63
400	9.03858	2477.1
401	9.0651	2477.1
402	9.09061	2471.74
403	9.11631	2445.07
404	9.14216	2412.68
405	9.16786	2411.08
406	9.19376	2395.95
407	9.21971	2394.15
408	9.24654	2382.17
409	9.27249	2381.13
410	9.29854	2378.21
411	9.32446	2373.76
412	9.35115	2373.48
413	9.37718	2372.85
414	9.40377	2362.1
415	9.4298	2332.23
416	9.45596	2330.66
417	9.48262	2329.14
418	9.50871	2328.51
419	9.53526	2272.09
420	9.56125	2271.78
421	9.58758	2237.18
422	9.61408	2219.09
423	9.64091	2206.05
424	9.66733	2205.65
425	9.69377	2194.05
426	9.72022	2183.55
427	9.74644	2179.35
428	9.77416	2129.02
429	9.80118	2126.77
430	9.82768	2125.15
431	9.85496	2123.07
432	9.88203	2104.59
433	9.90929	2104.41
434	9.93589	2091.64
435	9.96273	2078.78
436	9.98956	2077.72
437	10.0163	2077.62
438	10.0439	2077.32
439	10.0705	2077.21
440	10.0986	2076.62
441	10.127	2076.55
442	10.1542	2076.28
443	10.1818	2070.37
444	10.2112	2058.97
445	10.2385	2058.87
447	10.2932	2046.03
448	10.3201	2039.28
449	10.347	2039.26
450	10.3736	2038.73
451	10.4005	2031.86
452	10.428	2029.41
453	10.4552	2028.73
454	10.482	2028.69
455	10.5094	2028.59
456	10.5365	2028.49
457	10.5636	2025.47
458	10.5909	2024.76
459	10.6184	2024.34
460	10.6456	2022.07
461	10.6731	2022.05
462	10.7001	2021.22
463	10.7269	2011.55
464	10.7541	2010.06
465	10.7812	2010.04
466	10.8087	2009.99
467	10.8361	1990.69
468	10.8639	1990.68
469	10.8911	1988.17
470	10.9184	1988.16
471	10.9461	1985.25
472	10.9734	1984.92
473	11.0005	1982.07
474	11.0275	1968.9
475	11.0547	1963.8
476	11.0827	1963.64
477	11.1098	1962.28
478	11.137	1959.46
479	11.1648	1959.25
480	11.1923	1950.23
481	11.22	1949.5
482	11.2478	1934.22
483	11.2754	1912.79
484	11.3031	1910.63
485	11.3306	1910.28
486	11.3587	1906.47
487	11.3869	1906.06
488	11.4146	1886.86
490	11.4696	1886.71
491	11.4973	1886.63
492	11.5249	1884.39
493	11.5527	1879.58
494	11.5805	1876.67
495	11.6086	1869.9
496	11.6362	1866.25
497	11.6642	1864.01
498	11.692	1863.9
499	11.7209	1863.82
500	11.7488	1860.22
501	11.777	1859.1
502	11.8044	1853.4
503	11.8324	1848.8
504	11.8599	1848.7
505	11.8878	1847.86
506	11.9157	1842.19
507	11.9433	1830.54
508	11.9708	1830.46
509	11.9991	1830.43
510	12.0268	1830.39
511	12.0548	1825.93
512	12.0825	1825.92
513	12.111	1819.91
514	12.1407	1805.51
515	12.1692	1805.47
516	12.1991	1804.35
517	12.2289	1803.78
518	12.2574	1794.93
519	12.2862	1787.52
520	12.3152	1787.49
521	12.3441	1787.05
522	12.3765	1785.43
523	12.4081	1779.61
524	12.4378	1778.14
525	12.4675	1777.97
526	12.5003	1777.91
527	12.5295	1777.56
528	12.5585	1777.55
529	12.5873	1777.4
530	12.6169	1776.74
531	12.646	1750.5
532	12.6743	1749.68
533	12.7029	1743.24
534	12.7314	1738.9
535	12.7597	1734.35
536	12.7884	1719.17
537	12.8176	1719.06
538	12.8463	1718.94
539	12.8758	1718.3
540	12.9046	1705.65
541	12.9332	1705.64
542	12.9622	1705.41
543	12.9912	1698.25
544	13.0202	1689.26
545	13.0489	1689.01
546	13.0781	1681.25
547	13.1075	1674.45
548	13.1364	1674.43
549	13.1657	1672.27
550	13.1945	1672.24
551	13.2233	1644.12
552	13.2523	1644.1
553	13.2815	1641.8
554	13.3103	1641.7
555	13.3395	1641.25
556	13.3686	1640.45
557	13.3983	1640.41
558	13.4273	1640.07
559	13.4575	1633.35
560	13.488	1632.95
561	13.5177	1632.2
562	13.5487	1631.51
563	13.5791	1625.7
564	13.6093	1624.94
565	13.6399	1622.5
567	13.6997	1617.41
568	13.7298	1616.06
569	13.7592	1615.83
570	13.7883	1614.85
571	13.8177	1614.78
572	13.8471	1595.93
573	13.8764	1595.16
574	13.906	1581.2
575	13.9359	1580.53
576	13.9655	1580.24
577	13.9955	1579.71
578	14.0268	1575.34
579	14.0565	1574.1
580	14.0857	1573.07
581	14.1152	1572.99
582	14.145	1556.22
583	14.1742	1556.17
584	14.2042	1553.52
585	14.2339	1553.47
586	14.2634	1551.7
587	14.293	1550.38
588	14.3226	1550.1
589	14.3523	1550.08
590	14.3818	1548.31
591	14.412	1548.07
592	14.4426	1531.23
593	14.4751	1528.29
594	14.505	1528
595	14.5346	1526.48
596	14.5648	1525.76
597	14.5954	1525.29
598	14.6256	1486.79
599	14.6561	1467.75
600	14.6864	1461.59
601	14.7168	1452.49
602	14.7477	1452.49
603	14.7777	1450.82
604	14.8075	1449.18
605	14.838	1446.47
606	14.8681	1425.35
607	14.8983	1425.35
608	14.9308	1420.75
609	14.9642	1410.4
610	14.9976	1409.69
611	15.0285	1402.81
612	15.0606	1398.81
613	15.0911	1398.34
614	15.1228	1398.01
616	15.1853	1395.76
617	15.2191	1393.44
618	15.2508	1393.44
619	15.2841	1391.68
620	15.316	1391.66
621	15.3473	1384.38
622	15.3774	1384.36
623	15.4077	1375.54
624	15.4395	1375.3
625	15.4693	1370.06
626	15.4993	1370.04
627	15.5349	1369.64
628	15.5684	1369.48
629	15.614	1360.67
630	15.6545	1360.03
631	15.6864	1359.48
632	15.7171	1359.43
633	15.7479	1359.33
634	15.7805	1358.98
635	15.8134	1357.26
636	15.8463	1356.73
637	15.8819	1356.37
639	15.9449	1356.17
640	15.9776	1356.11
642	16.0409	1354
643	16.0865	1339.47
644	16.118	1332.22
645	16.1491	1331.38
646	16.1807	1308.76
647	16.2121	1305.24
648	16.2437	1304.29
649	16.2759	1303.83
650	16.3111	1303.78
651	16.343	1300.41
652	16.3754	1300.19
653	16.4064	1299.87
654	16.4387	1296.41
655	16.4812	1291.88
656	16.5169	1288.94
657	16.549	1288.42
658	16.5796	1288.37
660	16.6418	1288.09
661	16.673	1286.8
662	16.7039	1275.47
663	16.7358	1273.5
664	16.7702	1265.33
665	16.802	1264.55
666	16.8344	1264.17
667	16.8658	1263.89
668	16.8975	1257.14
669	16.9289	1254.74
670	16.9592	1254.45
671	16.9899	1254.27
672	17.0204	1244.63
673	17.0513	1244.57
674	17.0818	1241.53
675	17.1125	1238.71
676	17.144	1238.08
677	17.1757	1238.02
678	17.2062	1237.93
679	17.2386	1237.84
680	17.2696	1237.38
681	17.3004	1237.13
682	17.3321	1237.06
683	17.3631	1235.02
684	17.3945	1233.19
685	17.425	1233.14
686	17.4568	1227.78
687	17.4879	1224.74
688	17.5195	1217.99
689	17.5512	1217.95
690	17.5824	1217.84
691	17.6137	1216.17
692	17.6458	1210.83
693	17.6764	1210.82
694	17.7072	1210.76
695	17.7389	1210.3
696	17.7709	1210.19
697	17.8025	1209.36
698	17.8345	1208.41
699	17.8669	1208.05
700	17.898	1207.96
701	17.9293	1207.82
702	17.9622	1207.77
703	17.9937	1203.01
704	18.0256	1202.44
705	18.0573	1202.42
706	18.0887	1202.2
708	18.1531	1202.19
709	18.1847	1201.34
710	18.2167	1201.33
711	18.2493	1199.08
712	18.2812	1194.83
713	18.3129	1193.34
714	18.3454	1162.02
715	18.3768	1161.95
716	18.4084	1161.57
717	18.4409	1161.33
718	18.4736	1158.53
719	18.5052	1157.18
720	18.5365	1151.75
721	18.569	1151.49
722	18.6021	1146.44
723	18.6347	1144.76
724	18.6743	1144.53
725	18.7125	1142.85
726	18.7457	1142.03
727	18.7778	1141.93
728	18.8095	1141.77
730	18.8757	1141.75
731	18.908	1141.38
732	18.9406	1138.71
733	18.9735	1136.06
734	19.0066	1132.03
735	19.0397	1130.71
736	19.0722	1130.69
737	19.1044	1129.83
738	19.1374	1129.75
739	19.1696	1129.6
740	19.2024	1129.2
741	19.235	1128.56
742	19.2675	1127.13
743	19.3004	1126.68
745	19.3655	1126.23
746	19.3981	1125.85
747	19.4312	1111.75
748	19.4636	1111.73
749	19.4961	1111.69
750	19.5292	1111.62
751	19.5614	1103.76
752	19.5943	1103.76
753	19.6272	1102.59
754	19.6613	1096.85
755	19.6937	1096.83
756	19.7271	1096.71
757	19.7599	1096.21
758	19.7924	1095.93
759	19.8255	1095.61
760	19.8589	1095.54
761	19.8921	1095.38
762	19.9267	1095.2
763	19.9592	1094.92
764	19.9922	1093.53
765	20.0259	1092.21
766	20.0585	1090.1
767	20.0921	1088.93
768	20.1256	1088.92
769	20.1587	1088.24
770	20.192	1088.01
771	20.2251	1083.06
772	20.2581	1082.9
773	20.2914	1082.66
774	20.325	1081.75
775	20.3581	1074.61
776	20.3915	1073.4
777	20.4252	1072.82
779	20.4908	1072.65
780	20.5247	1069.91
781	20.5574	1069.91
782	20.5921	1069.59
783	20.6385	1068.12
784	20.6714	1064.23
785	20.7058	1062.82
786	20.7386	1050.83
787	20.7721	1048.77
788	20.8062	1048.74
789	20.8403	1048.69
790	20.8736	1048.57
791	20.907	1043.54
792	20.9415	1043.49
793	20.9758	1037.79
794	21.0088	1037.42
795	21.0426	1037.1
796	21.0766	1036.97
797	21.1096	1036.97
798	21.1437	1036.77
799	21.1807	1035.77
800	21.2156	1035.35
801	21.2486	1034.61
802	21.2819	1034.59
803	21.3151	1033.3
804	21.3485	1032.81
805	21.3821	1032.58
806	21.4158	1032.56
807	21.4489	1023.99
808	21.4829	1023.02
809	21.5161	1022.96
810	21.5494	1021.99
811	21.5841	1020.79
812	21.618	1019.86
813	21.6512	1018.64
814	21.6849	996.349
815	21.7182	996.035
816	21.7513	995.957
818	21.8189	991.367
819	21.8524	991.268
820	21.887	990.353
821	21.9215	990.169
822	21.955	988.684
823	21.9887	988.549
824	22.023	981.696
825	22.0572	981.637
826	22.0908	980.87
827	22.1257	980.202
828	22.1594	980.095
829	22.193	980.088
830	22.2271	978.959
831	22.2616	978.512
832	22.2956	976.041
833	22.3295	975.909
834	22.3637	975.616
835	22.3986	975.352
836	22.4326	973.877
837	22.4681	971.056
838	22.5021	961.763
839	22.5361	958.356
840	22.5709	954.598
841	22.6053	954.42
842	22.6391	954.42
843	22.6752	953.979
844	22.7099	953.899
845	22.7438	951.083
846	22.7783	937.081
847	22.8132	937.071
848	22.8469	935.803
849	22.8824	933.342
850	22.9181	933.34
851	22.9532	933.011
852	22.9872	932.283
853	23.0219	931.919
854	23.0567	931.755
855	23.0909	931.311
856	23.1261	929.64
857	23.16	929.036
858	23.1941	929.036
859	23.2282	927.721
860	23.2635	927.711
861	23.2975	926.737
862	23.332	926.694
863	23.3677	921.954
864	23.417	921.251
865	23.4547	920.682
866	23.4902	920.569
867	23.5281	919.981
868	23.5675	919.849
869	23.6177	917.789
870	23.6716	917.784
871	23.7164	917.762
872	23.7568	917.645
873	23.7928	917.209
874	23.8285	914.974
875	23.8641	914.737
876	23.8989	914.382
877	23.9337	914.174
878	23.9683	913.952
879	24.0023	913.727
880	24.0366	913.473
882	24.1044	913.426
883	24.1383	904.196
884	24.1778	902.95
885	24.2142	902.853
886	24.2497	889.476
887	24.2844	889.419
888	24.3195	888.999
889	24.3562	888.654
890	24.3917	888.639
891	24.428	884.915
892	24.4617	884.762
893	24.4956	884.303
894	24.5307	881.627
895	24.5645	880.712
896	24.5983	877.059
900	24.7346	876.791
901	24.7688	875.39
902	24.8078	862.631
903	24.8421	862.558
904	24.8761	862.271
905	24.9104	859.039
906	24.9451	858.926
907	24.9802	858.539
908	25.0147	853.664
909	25.0484	853.47
911	25.1171	853.207
912	25.151	850.655
913	25.186	850.614
914	25.2198	848.231
915	25.2541	846.898
917	25.3224	846.889
918	25.3575	846.703
919	25.3917	846.641
920	25.4257	846.552
921	25.461	846.379
922	25.4961	846.374
923	25.5318	845.428
924	25.5678	844.144
925	25.6021	843.963
927	25.6733	841.44
928	25.7073	835.786
929	25.7418	835.736
930	25.776	835.659
932	25.8462	834.557
933	25.8812	834.172
934	25.9154	832.05
935	25.9508	831.923
936	25.9856	831.922
937	26.0205	830.555
938	26.0552	830.307
939	26.0908	830.058
941	26.1594	826.277
942	26.1939	826.028
943	26.24	825.325
944	26.2748	824.936
945	26.3101	824.904
946	26.3457	824.83
948	26.4163	824.814
949	26.4516	824.778
950	26.4862	824.776
951	26.5209	824.246
952	26.5566	823.881
953	26.5923	823.829
954	26.6278	813.132
955	26.6625	812.771
956	26.6972	812.51
957	26.732	812.44
958	26.7667	811.694
959	26.802	811.362
960	26.8373	810.877
