# target=instancias/pollock.png T=240 iters=5000 K=32 seed=auto
iter	segundos	MSE
0	0.00178986	11765.4
1	0.0192881	11738.6
2	0.036756	11733.7
3	0.0535941	11718.4
4	0.0705626	11664.7
5	0.0874706	11660
6	0.104436	11642.8
7	0.120755	11640
8	0.137667	11622.2
9	0.168231	11599.3
10	0.194613	11562.9
11	0.216043	11515.9
12	0.233398	11504.1
13	0.251469	11503.7
14	0.272045	11502.4
15	0.289728	11473.1
16	0.307765	11461.1
17	0.325379	11450.6
18	0.342475	11439.9
19	0.359473	11404.5
20	0.37699	11378
21	0.394668	11371.4
22	0.4126	11366.5
23	0.431024	11304.7
24	0.448384	11278.1
25	0.465555	11218.4
26	0.483314	11180.4
27	0.501357	11176.6
28	0.519009	11151.5
29	0.537021	11151.3
30	0.554311	11134
31	0.572097	11123
32	0.589394	11112.8
33	0.607112	11108.5
34	0.624521	11091.5
35	0.642926	11084.2
36	0.661525	11028.8
37	0.679538	11026.9
38	0.697557	11002.4
39	0.715132	10996.9
40	0.733351	10942
41	0.751587	10924.2
42	0.769097	10915.4
43	0.786571	10902.9
44	0.80392	10899.4
45	0.821668	10898.3
46	0.839336	10888.3
47	0.857046	10829.8
48	0.874581	10826.9
49	0.892244	10810.2
50	0.910067	10810
51	0.92777	10807.3
52	0.9457	10806
53	0.963204	10790.9
54	0.981076	10759.7
55	0.998987	10758.9
56	1.01693	10758.6
57	1.03466	10735
58	1.05324	10709.2
59	1.07258	10670
60	1.09143	10656.5
61	1.11069	10605.9
62	1.1299	10603.1
63	1.14911	10561.8
64	1.16747	10555.7
65	1.18636	10553.2
66	1.20592	10528
67	1.22437	10505.8
68	1.24273	10505.2
69	1.26149	10481.5
70	1.28136	10477.8
71	1.29968	10456.6
72	1.31761	10414.4
73	1.33628	10395.7
74	1.35475	10387.8
75	1.37292	10385.1
76	1.39101	10384
77	1.4091	10362.3
78	1.42762	10350.9
79	1.44665	10345.3
80	1.46536	10281.2
81	1.48357	10233.4
83	1.52005	10187.9
84	1.53886	10171
85	1.5589	10157.5
86	1.57812	10141.8
87	1.59669	10120.3
88	1.61514	10115.2
89	1.63384	10098.2
90	1.65273	10096
91	1.67163	10090.9
92	1.68999	10049.3
93	1.70858	10047.4
94	1.72777	10031.3
95	1.74714	10031.3
96	1.76563	10013.5
97	1.78425	10007.2
98	1.80355	9965.43
99	1.82241	9952.8
100	1.84137	9940.3
101	1.86159	9940.19
102	1.89238	9933.37
103	1.91465	9931.28
104	1.93526	9926.19
105	1.95509	9924.35
106	1.97708	9918.82
107	1.99959	9916.07
108	2.0214	9886.6
109	2.06731	9878.57
110	2.09136	9841.29
111	2.11077	9821.74
112	2.13009	9820.95
113	2.14928	9816.04
114	2.16858	9812.84
115	2.18913	9805.37
116	2.20988	9780.57
117	2.23016	9768.63
118	2.25099	9766.61
119	2.27037	9744.72
120	2.28982	9742.7
121	2.30892	9737.61
122	2.32831	9715.53
123	2.34859	9705.71
124	2.36789	9700.27
125	2.38759	9658.62
126	2.4067	9657.66
127	2.42608	9655.13
128	2.44584	9654.54
129	2.46508	9653.26
130	2.48401	9609.45
131	2.50309	9601.29
132	2.52245	9580.25
133	2.54462	9566.17
134	2.56426	9560.11
135	2.58398	9557.16
136	2.60323	9555.13
137	2.62274	9554.7
138	2.64179	9552.81
139	2.66092	9531.62
140	2.68051	9483.66
141	2.70025	9471.35
142	2.71998	9458.3
143	2.73903	9429.61
144	2.75936	9419.62
145	2.77895	9410.62
146	2.79835	9387.18
147	2.81784	9386.2
148	2.83712	9365.25
149	2.85691	9362.4
150	2.87627	9358.7
151	2.8955	9357.21
152	2.9158	9350.74
153	2.93576	9310.6
154	2.95488	9305.35
156	2.99487	9302.27
157	3.01423	9302.2
158	3.03348	9294.42
159	3.05346	9293.47
160	3.07316	9292.25
161	3.0942	9285.93
162	3.11487	9280.97
163	3.13527	9276.34
164	3.15491	9250.43
165	3.17473	9240.45
166	3.19419	9231.25
167	3.21487	9226.18
168	3.23735	9224.15
169	3.25742	9214.48
170	3.27683	9199.78
171	3.29624	9156.81
172	3.31551	9114.45
173	3.33568	9111.41
174	3.36519	9108.58
175	3.38606	9098.04
176	3.40793	9090.36
177	3.42991	9055.44
178	3.45237	9053.6
179	3.47465	9029.48
180	3.4959	9011.64
181	3.51686	9006.53
182	3.53689	8942.1
183	3.55647	8930.01
184	3.57602	8915.4
185	3.59544	8862.86
186	3.61499	8862.4
187	3.63474	8862.26
188	3.65765	8860.12
189	3.67828	8847
190	3.69902	8841.26
191	3.71971	8837.67
192	3.73989	8822.4
193	3.75982	8816.65
194	3.77987	8809.59
195	3.79985	8808.66
196	3.81974	8777.31
197	3.83973	8776.56
198	3.85962	8775.59
199	3.87968	8769.85
200	3.89915	8757.16
201	3.91916	8757.01
202	3.93881	8753.1
203	3.95888	8726
204	3.97837	8706.14
205	3.99797	8702.73
206	4.01776	8677.26
207	4.03761	8631.87
208	4.05755	8606.16
209	4.07753	8598.29
210	4.0971	8595.93
211	4.11649	8565.11
212	4.13584	8564.81
213	4.15674	8555.44
214	4.17658	8552.18
215	4.19621	8545.45
216	4.21619	8537.57
217	4.2361	8512.75
218	4.25766	8511.96
219	4.27859	8501.88
220	4.29929	8491.87
221	4.31946	8481.79
222	4.34062	8461.18
223	4.3609	8452.99
224	4.38126	8439
225	4.40174	8434.72
226	4.42369	8433.56
227	4.44451	8387.13
228	4.46458	8385.47
229	4.48476	8378.74
230	4.50469	8375.05
231	4.52627	8374.13
232	4.54713	8367.28
233	4.56737	8363.88
234	4.58716	8350.37
235	4.60801	8350.21
236	4.6282	8332.13
237	4.64876	8282.17
238	4.66875	8275.37
239	4.68903	8272.22
240	4.70905	8220.07
241	4.7295	8215.16
242	4.74977	8213.09
243	4.77016	8209.35
244	4.79034	8199.98
245	4.81037	8194.93
246	4.83069	8194.19
247	4.85121	8194.15
248	4.87206	8176.76
249	4.89392	8168.08
250	4.91434	8151.87
251	4.93494	8136.71
252	4.95709	8124.65
253	4.97859	8120.7
254	4.9997	8120.58
255	5.02218	8119.35
257	5.06428	8107.01
258	5.08557	8100.42
259	5.10746	8086.74
260	5.12855	8070.56
261	5.14945	8064.08
262	5.17017	8060.65
263	5.19113	8043.57
264	5.21231	8002.27
265	5.23382	7993.43
266	5.25523	7950.57
267	5.2763	7947.87
268	5.2975	7904.09
269	5.31854	7903.93
270	5.34011	7892.31
271	5.36167	7867.4
272	5.38276	7864.91
273	5.40374	7864.63
274	5.42492	7861.01
275	5.44653	7854.27
276	5.46823	7829.81
277	5.49034	7823.41
278	5.51144	7820.39
279	5.533	7817.63
280	5.55442	7751.16
281	5.57575	7727.58
282	5.5973	7725.16
283	5.61852	7698.07
284	5.64079	7694.45
285	5.66197	7694.25
286	5.68392	7685.03
287	5.70554	7663.07
288	5.73032	7657.81
289	5.75482	7647.51
290	5.77745	7646.31
291	5.79901	7645.11
292	5.82123	7633.02
293	5.84426	7632.54
294	5.86601	7613.96
295	5.8875	7613.3
296	5.909	7611.48
297	5.93054	7594.7
298	5.95212	7443.27
299	5.97434	7441.08
300	5.99616	7431.76
301	6.01833	7409.66
302	6.04017	7408.18
303	6.06279	7390.32
304	6.08645	7389.64
305	6.10895	7386.56
306	6.13259	7378.85
307	6.15812	7360.89
308	6.18267	7360.54
309	6.20597	7308.12
310	6.22842	7303.91
311	6.25085	7292.29
312	6.27328	7282.48
313	6.29727	7276.29
314	6.31929	7273.52
315	6.342	7263.49
316	6.36509	7261.9
317	6.38806	7258.23
318	6.41244	7249.71
319	6.43459	7246.2
320	6.45738	7224.21
321	6.48059	7221.55
323	6.52489	7216.06
324	6.54783	7205.96
325	6.57163	7198.59
326	6.59541	7193.48
327	6.6184	7140.81
328	6.64075	7138.72
329	6.66331	7130.35
330	6.68599	7110.78
331	6.70895	7109.69
332	6.7313	7095.69
333	6.75369	7095.46
334	6.77649	7089.91
335	6.79944	7088.47
336	6.82161	7073.06
337	6.84386	7062.05
338	6.86654	7030.77
339	6.88974	7005.44
340	6.91344	6984.59
341	6.93735	6984.5
342	6.95983	6978.54
343	6.98233	6975.93
344	7.00491	6975.74
345	7.02811	6974.53
346	7.05032	6972.28
347	7.07255	6962.85
348	7.096	6958.08
349	7.11861	6951.51
350	7.14163	6940.86
351	7.1644	6934.99
352	7.18711	6931.19
353	7.21019	6919.74
354	7.23361	6916.85
355	7.25616	6901.07
356	7.27944	6899.16
357	7.30212	6889.53
358	7.3245	6888.13
359	7.3483	6880.16
360	7.37126	6880.11
361	7.3938	6876.51
362	7.41663	6876.32
363	7.4407	6875.12
364	7.46475	6872.2
365	7.50712	6856.33
366	7.5658	6853.35
367	7.59936	6833.59
368	7.62198	6831.67
369	7.64527	6827.57
370	7.66837	6819.67
371	7.69145	6819.19
372	7.71433	6802.07
373	7.73731	6790.43
374	7.76051	6775.65
375	7.78534	6774.03
376	7.80885	6772.89
377	7.83144	6770.36
378	7.85436	6768.81
379	7.87764	6726.69
380	7.90051	6659.08
381	7.92351	6656.66
382	7.94639	6654.96
383	7.96927	6651.48
384	7.99232	6647.32
385	8.0159	6644.17
386	8.03979	6635.54
387	8.06263	6614.4
388	8.08521	6601.26
