# target=instancias/bach.png T=340 iters=5000 K=32 seed=auto
iter	segundos	MSE
0	0.0028756	16419.7
1	0.0289977	16359.1
2	0.0544804	16358.9
3	0.0802109	16352.8
4	0.107101	16283
5	0.134696	16180.9
6	0.161239	16168.5
7	0.196069	16138.9
8	0.22196	16117.2
9	0.257552	16102.6
10	0.282513	16074.2
11	0.309654	16009.3
12	0.335472	16000.2
13	0.361295	15997.8
14	0.387371	15945.4
15	0.426877	15935.2
16	0.452538	15910.1
17	0.478687	15900.3
18	0.505151	15784.1
19	0.533842	15765.6
20	0.560875	15742.2
21	0.587787	15718.2
22	0.613386	15690
23	0.641812	15601.8
24	0.668673	15599.8
25	0.694709	15573
26	0.723131	15508.1
27	0.750818	15498.2
28	0.778538	15470
29	0.804148	15335.7
30	0.830575	15333.5
31	0.857349	15242
32	0.884811	15241.9
33	0.911288	15208.9
34	0.938776	15208.1
35	0.965043	15141.2
36	0.999099	15136.2
37	1.02841	15084.4
38	1.06023	15079
39	1.08654	15034.3
40	1.113	14953.4
41	1.13987	14846
42	1.17005	14829.4
43	1.19733	14762.5
44	1.2246	14731.9
45	1.25804	14721
46	1.29099	14690.2
47	1.31749	14682.7
48	1.34482	14676
49	1.37448	14657.3
50	1.40184	14610.6
51	1.4287	14545.5
52	1.4563	14476.3
53	1.48384	14469.4
54	1.51335	14455.8
56	1.56961	14372.2
57	1.60152	14372.2
58	1.62844	14088.3
59	1.65577	14081.3
60	1.68339	14033.5
61	1.71318	13888.7
62	1.74444	13719.2
63	1.77435	13680.8
64	1.82818	13514.3
65	1.90302	13446.8
66	1.9547	13406.9
67	1.98467	13402.7
68	2.01344	13398.9
69	2.04133	13398.8
70	2.07	13387.8
71	2.10165	13385.6
72	2.1386	13385.1
73	2.16602	13382.4
74	2.19404	13263.6
75	2.22169	13263.6
76	2.25304	13243.7
77	2.28365	13191
78	2.3321	13190.9
79	2.36082	13145.3
80	2.39306	12987.4
81	2.42442	12973.8
82	2.46607	12946.4
83	2.51043	12905.6
84	2.56529	12891.6
85	2.60933	12867.4
86	2.64469	12829.5
87	2.68004	12828
88	2.70886	12746
89	2.73753	12724.5
90	2.76759	12712.9
91	2.79879	12706.4
92	2.83277	12658.7
93	2.86239	12639.3
94	2.89263	12639
95	2.92216	12618.5
96	2.95183	12606.6
97	2.99154	12511.7
98	3.0262	12478.7
99	3.05724	12472.6
100	3.08689	12471.9
101	3.11544	12464.9
102	3.14366	12464.1
103	3.17404	12300.6
104	3.20164	12253.7
105	3.22906	12155.4
106	3.25848	12155.2
107	3.28715	12146.9
108	3.32268	12143.4
109	3.35196	12143.2
110	3.38482	12057.7
111	3.41554	12036.3
112	3.44349	12036.3
113	3.47451	12034.5
114	3.50441	12020.9
115	3.53795	12014
116	3.56702	12010.1
117	3.59574	12007.9
118	3.62309	11997.3
119	3.65221	11975.2
120	3.68036	11975.1
121	3.70939	11974.9
122	3.73847	11950.3
123	3.76693	11949.9
124	3.7985	11813.8
125	3.83145	11811.9
126	3.86436	11811.9
127	3.89971	11746.8
128	3.9333	11746.6
129	3.97025	11739.9
130	4.00271	11731.2
131	4.03222	11709.7
132	4.06678	11708.9
133	4.09782	11679.3
134	4.13091	11673.8
135	4.16099	11673.3
136	4.19017	11672.3
137	4.21935	11672.3
138	4.2475	11669.8
139	4.2796	11611.3
140	4.31076	11550.7
141	4.34016	11515.8
142	4.36905	11506.8
143	4.39752	11421.6
144	4.42612	11368.1
145	4.45554	11356.7
146	4.48397	11353.9
147	4.51334	11353.2
148	4.54217	11353.2
149	4.57139	11350.3
150	4.60203	11346.6
151	4.6321	11234.8
152	4.66128	11212.6
153	4.69091	11197.9
154	4.72117	11195.6
155	4.75018	11176.7
156	4.78122	11154.6
157	4.81592	11119.6
158	4.84481	11119.6
159	4.87429	11095.2
160	4.90774	11073.6
161	4.93705	11022.3
162	4.96841	10993.3
163	4.99769	10976
164	5.02816	10873.5
165	5.05818	10869.5
166	5.09042	10863.5
167	5.1277	10862.6
168	5.15827	10829.4
169	5.19033	10766.5
170	5.22048	10657.4
171	5.25057	10617.7
172	5.2806	10599.6
173	5.31086	10598.4
174	5.34565	10596.8
175	5.38315	10572.7
176	5.41918	10570
177	5.44847	10561.4
178	5.47805	10466.6
179	5.51182	10460.8
180	5.54767	10457
181	5.58059	10438.6
182	5.61668	10416.4
183	5.64951	10416.4
184	5.67965	10408
185	5.71255	10376.8
186	5.74511	10370.6
187	5.78074	10350
188	5.81528	10349.3
189	5.85488	10345.2
190	5.88647	10324.9
191	5.91797	10317.4
192	5.94932	10262.9
193	5.97836	10255.5
194	6.01062	10223.8
195	6.06991	10222.8
196	6.11475	10212.8
197	6.15986	10212.6
198	6.20664	10177.3
199	6.24815	10116.9
200	6.28418	10078.4
201	6.32166	10069.2
202	6.36278	10065.5
203	6.39546	10052.7
204	6.42599	9990.1
205	6.45934	9939.61
206	6.49169	9929.29
207	6.52287	9918.86
208	6.5539	9916.86
209	6.58958	9883.58
210	6.62665	9861.46
211	6.65855	9833.55
212	6.68898	9796.48
213	6.71974	9795.79
214	6.75069	9765.76
215	6.7878	9751.69
216	6.81995	9749.97
217	6.85058	9721.13
218	6.88032	9721.08
219	6.91639	9710.37
220	6.94657	9631.82
221	6.97798	9626.83
