# target=instancias/mona.png T=340 iters=5000 K=32 seed=auto
iter	segundos	MSE
0	0.00325926	10090.8
1	0.0278025	10086.9
2	0.0518283	10070.5
3	0.0763007	10069.5
4	0.101039	10062.1
5	0.126151	9954.2
6	0.151783	9951.49
7	0.175905	9951.47
8	0.199995	9924.68
9	0.224283	9918.51
10	0.248636	9855.52
11	0.272841	9854.91
12	0.296833	9836.69
13	0.32109	9786.33
14	0.345008	9772.33
15	0.368982	9755.68
16	0.393101	9754.53
17	0.417326	9743.22
18	0.441514	9609.25
19	0.465568	9602.77
20	0.489883	9582.33
21	0.515309	9563.61
22	0.53951	9485.35
23	0.563817	9485.24
24	0.588481	9458.91
25	0.613498	9454.7
26	0.638692	9442.52
27	0.663535	9433.02
28	0.688403	9412.47
29	0.713665	9410.28
30	0.738613	9407.07
31	0.763165	9309.89
32	0.787646	9227.25
33	0.812444	9219.92
34	0.837176	9149.6
35	0.861785	9091.16
36	0.886583	9059.11
37	0.911755	9040.84
38	0.936835	9000.45
39	0.961571	8953.11
40	0.987241	8944.13
41	1.05408	8912.48
42	1.0998	8862.82
43	1.13715	8794
44	1.16242	8789.9
45	1.18817	8697.68
46	1.21452	8683.23
47	1.24166	8683.08
48	1.26722	8679.71
49	1.29278	8652.19
50	1.31833	8652.1
51	1.34392	8560.96
52	1.36954	8554.32
53	1.39495	8552.88
54	1.42067	8545.51
55	1.44689	8542.6
56	1.47245	8510.06
57	1.49791	8495.77
58	1.5236	8478.34
59	1.55006	8473.47
60	1.57553	8466.57
61	1.60198	8457.65
62	1.62737	8457.43
63	1.65377	8324.79
64	1.67936	8323.3
65	1.70531	8322.74
66	1.73149	8285.68
67	1.75765	8227.82
68	1.78395	8181.67
69	1.81077	8165.16
70	1.8376	8108.56
71	1.86434	8080.5
72	1.89036	8028.33
73	1.91645	8014.46
74	1.94293	7987.41
75	1.96896	7986.99
76	1.99504	7924.54
77	2.02131	7874.21
78	2.04735	7874
79	2.07331	7854.31
80	2.09959	7838.73
81	2.12542	7838.62
82	2.15155	7834.95
83	2.1786	7768.69
84	2.20472	7683.59
85	2.23122	7675.13
86	2.25803	7622.47
87	2.28494	7619.47
88	2.31125	7612.11
89	2.33741	7611.45
90	2.36367	7611.4
91	2.38979	7569.24
92	2.41702	7553.45
93	2.44397	7551.18
94	2.47134	7542
95	2.49828	7526.24
96	2.52595	7525.54
97	2.55254	7507.34
98	2.57932	7501.75
99	2.60567	7415.8
100	2.6321	7409.75
101	2.65899	7409.74
102	2.6858	7354.47
103	2.71242	7341.56
104	2.73911	7313.19
105	2.76573	7294.37
106	2.79251	7292.97
107	2.81941	7281.51
108	2.84699	7270.18
109	2.87406	7261.52
110	2.90506	7108.63
111	2.94793	7086.27
112	2.98662	7078.36
113	3.01343	7059.08
114	3.04094	7057.52
115	3.06814	7052.51
116	3.09581	7035.01
117	3.12368	7027.65
118	3.15116	7026.34
119	3.17804	7025.44
120	3.20681	7014.13
121	3.23506	6962.74
122	3.26245	6961.7
123	3.28988	6960.85
124	3.31843	6957.63
125	3.34677	6914.56
126	3.37382	6910.07
127	3.40131	6901.39
128	3.42967	6867.42
129	3.4571	6849.32
130	3.48447	6824.29
131	3.51194	6822.49
132	3.53945	6800.24
133	3.56652	6799.79
134	3.59395	6798.1
135	3.62107	6728.78
136	3.64809	6723.99
137	3.67552	6711.58
138	3.7029	6711.3
139	3.73007	6692.73
140	3.75737	6689.16
141	3.7929	6669.69
142	3.82772	6645.86
143	3.85575	6645.84
144	3.8831	6611.33
145	3.91047	6599.84
146	3.93784	6599.55
147	3.96519	6599.52
148	3.99236	6592.67
149	4.0219	6567.3
150	4.05073	6520.26
151	4.07819	6514.09
152	4.10565	6507.41
153	4.1331	6496.41
154	4.16072	6449.7
155	4.18962	6447.52
156	4.21829	6442.19
157	4.24575	6433.32
158	4.27324	6411.19
159	4.30101	6391.32
160	4.32997	6378.34
161	4.35786	6365.8
162	4.38682	6353.91
163	4.41438	6326.16
164	4.44208	6313.79
165	4.47056	6309.79
166	4.49818	6306.98
167	4.52605	6306.22
168	4.55413	6290.61
169	4.58201	6265.22
170	4.61005	6244.53
171	4.63801	6242.74
172	4.66654	6242.69
173	4.69504	6234.5
174	4.72267	6234.39
175	4.75048	6163.3
176	4.77866	6163.24
177	4.8073	6151.55
178	4.83508	6136.35
179	4.86357	6111.75
180	4.89222	6098.27
181	4.92026	6098.13
182	4.94809	6095.61
183	4.97643	6082.16
184	5.00579	6034.92
185	5.03472	6034.23
186	5.0638	6014.87
187	5.09267	6001.02
188	5.12083	6001.01
189	5.14916	5957.7
190	5.17734	5957.68
191	5.20539	5927.07
192	5.2338	5895.5
193	5.26188	5895.32
194	5.29012	5853.06
195	5.32179	5851.52
196	5.35011	5850.41
197	5.37869	5844.5
198	5.40694	5824.41
199	5.43534	5824.11
200	5.46491	5815.88
201	5.49494	5814.16
202	5.52458	5799.5
203	5.55293	5787.82
204	5.5814	5785.65
205	5.60985	5777.33
206	5.63866	5769.88
207	5.66809	5762.93
208	5.69643	5748.87
209	5.72476	5741.27
210	5.75397	5740.54
211	5.78237	5726.22
212	5.81106	5621.48
213	5.83978	5594.36
214	5.86878	5579.25
215	5.89779	5557.97
216	5.92699	5553.48
217	5.95542	5540.51
218	5.98444	5536.99
219	6.01379	5530.79
220	6.04215	5497.24
221	6.07061	5490.67
222	6.09909	5455.87
223	6.12758	5356.81
224	6.15608	5346.42
225	6.1845	5343.39
226	6.21379	5328.82
227	6.24371	5224.89
228	6.27441	5216.16
229	6.30329	5206.21
230	6.33187	5172.05
231	6.36061	5165.17
232	6.38956	5102.95
233	6.41911	5093.3
234	6.44836	5048.97
235	6.47711	5048.77
236	6.5058	5022.57
237	6.53542	5002.14
238	6.56462	4999.79
239	6.59446	4984.96
240	6.62408	4981.3
241	6.6552	4980.02
242	6.68428	4979.56
243	6.71316	4968.78
244	6.74234	4960.79
245	6.77121	4937.37
246	6.80043	4933.67
247	6.83011	4893.15
248	6.85927	4891.27
249	6.88835	4879.58
250	6.91786	4869.85
251	6.94817	4849.65
252	6.97765	4827.87
253	7.00721	4819.95
254	7.03696	4804.11
255	7.0664	4789.61
256	7.09582	4772
257	7.125	4771.93
258	7.15545	4770.21
259	7.18562	4755.58
260	7.21479	4743.66
261	7.24403	4743.66
262	7.27308	4737.12
263	7.30237	4726.66
264	7.33157	4682.53
265	7.36106	4679.03
266	7.39025	4667.73
267	7.42125	4664.83
268	7.45074	4664.82
269	7.48045	4627.52
270	7.50995	4627.01
271	7.53961	4623.69
272	7.56894	4619.87
273	7.59833	4611.38
274	7.62788	4580.91
275	7.65712	4544.76
276	7.68667	4544.6
277	7.71602	4544.16
278	7.74589	4528.19
279	7.77556	4521.82
280	7.80654	4509.64
281	7.83696	4506.22
282	7.87193	4502.25
283	7.90321	4494.73
284	7.93294	4490.72
285	7.96241	4490.39
286	7.99315	4471.75
287	8.02296	4471.43
288	8.05297	4470.16
289	8.08284	4458.38
290	8.11266	4455.01
291	8.14253	4451.31
292	8.17256	4440.27
293	8.20313	4426.61
294	8.23356	4420.18
295	8.26337	4418.69
296	8.29329	4417.15
297	8.32332	4407.93
298	8.35326	4405.79
299	8.38398	4405.06
300	8.41391	4403.41
301	8.44515	4395.42
302	8.47674	4394.31
303	8.50779	4350.49
304	8.53796	4344.58
305	8.56867	4343.92
306	8.59887	4334.6
307	8.62894	4331.38
308	8.65913	4325.53
309	8.68935	4325.07
310	8.71977	4318.38
311	8.75025	4302.25
312	8.78084	4301.69
313	8.81197	4290.6
314	8.84212	4272.93
315	8.87259	4265.03
316	8.90309	4229.92
317	8.9332	4229.66
318	8.96346	4179.54
319	8.9941	4158.29
320	9.02502	4144.18
321	9.05565	4112.76
322	9.08587	4103.79
323	9.11589	4101.45
324	9.14622	4094.34
325	9.18864	4070.39
326	9.22409	4067.28
327	9.27166	4061.9
328	9.30927	4034.93
329	9.33991	4002.8
330	9.37003	4002.7
331	9.40064	3994.39
332	9.43137	3982.61
333	9.46177	3979.96
334	9.49218	3973.48
335	9.52238	3968.76
336	9.5529	3960.87
337	9.58307	3955.48
338	9.61377	3952.77
339	9.64498	3947.07
340	9.67522	3936.97
341	9.7059	3930.89
342	9.73735	3914.57
343	9.76777	3914.55
344	9.79885	3913.89
345	9.82951	3875.88
346	9.8601	3873.25
347	9.89058	3872.68
348	9.92251	3851.92
349	9.95998	3846.72
350	9.99422	3842.05
351	10.0257	3841.21
352	10.0567	3839.41
353	10.0873	3822.92
354	10.118	3822.05
355	10.1493	3814.02
356	10.1806	3813.61
357	10.2119	3813.29
358	10.2429	3781.87
359	10.2742	3781.73
360	10.3051	3754.38
361	10.3357	3728.63
362	10.3663	3697.11
363	10.3978	3696.95
364	10.4296	3695.17
365	10.461	3687.7
366	10.4933	3683.76
367	10.5255	3683.01
368	10.5574	3681
369	10.5901	3669.5
370	10.6215	3667.19
371	10.6527	3654.81
372	10.6852	3616.93
373	10.7182	3616.53
374	10.7494	3605.16
375	10.7807	3602.66
376	10.8125	3582.05
377	10.8438	3577.18
378	10.8757	3544.11
379	10.9073	3542.11
380	10.9387	3539.71
381	10.9707	3534.96
382	11.0026	3519.85
383	11.0341	3498.68
384	11.066	3492.26
385	11.0978	3490.98
386	11.1296	3488.31
387	11.1627	3488.27
388	11.1953	3484.65
389	11.2271	3473.49
390	11.2588	3472.54
391	11.2903	3444.74
392	11.322	3441.51
393	11.354	3437.43
394	11.3855	3411.9
395	11.4177	3404.1
396	11.4509	3400.64
397	11.4831	3399.45
398	11.516	3397.04
399	11.548	3394.72
400	11.5802	3394.62
401	11.6125	3393.43
402	11.6445	3391.38
403	11.6765	3383.64
404	11.7086	3381.26
405	11.7407	3380.72
406	11.7728	3338.58
407	11.8052	3304.16
408	11.8381	3263.71
409	11.8709	3263.55
410	11.9032	3259.77
411	11.9368	3249.98
412	11.9692	3225.82
413	12.0017	3224.75
414	12.0346	3212.31
415	12.067	3211.29
416	12.0995	3205.05
417	12.1333	3184.32
418	12.1672	3184.1
419	12.1998	3173.84
420	12.2326	3168.28
421	12.265	3167.85
422	12.298	3147.08
423	12.3306	3109.76
424	12.3632	3099.23
425	12.3961	3098.87
426	12.429	3070.94
427	12.462	3069.48
428	12.4954	3042.54
429	12.529	3042.37
430	12.5629	3042.15
431	12.5959	3041.28
432	12.6286	3030.24
433	12.6618	3028.58
434	12.6948	3028.33
435	12.728	2997.18
436	12.7612	2996.59
437	12.7942	2993.01
438	12.8292	2991.78
439	12.864	2980.24
440	12.8988	2980.1
441	12.9324	2980.07
442	12.9672	2975.26
443	13.0006	2972.35
444	13.034	2970.76
445	13.0673	2970.06
446	13.1012	2966.63
447	13.1346	2966.23
448	13.1685	2954.76
449	13.2015	2954.65
450	13.2346	2914.66
451	13.2676	2911.25
452	13.3008	2904.59
453	13.3342	2904.26
454	13.3682	2904.03
455	13.403	2903.2
456	13.4363	2902.02
457	13.4699	2901.52
458	13.5035	2900.51
459	13.5368	2899.99
460	13.5705	2887.96
461	13.6039	2875.7
462	13.6375	2875.69
463	13.6714	2873.82
464	13.7051	2873.65
465	13.739	2871.83
466	13.7724	2870.72
467	13.8068	2866.77
468	13.8421	2856.61
469	13.8776	2849.27
470	13.9113	2841.64
471	13.945	2841.2
472	13.9791	2837.98
473	14.0129	2837.92
474	14.0487	2837.62
475	14.0847	2798.44
476	14.1195	2797.91
477	14.1532	2788.69
478	14.1876	2788.46
479	14.2215	2784.85
480	14.2552	2782.68
481	14.2894	2769.82
482	14.3239	2753.71
483	14.3584	2753.59
484	14.3921	2725.61
485	14.4258	2722.84
486	14.4609	2722.52
487	14.4952	2722.27
488	14.5297	2714.04
489	14.5639	2700.77
490	14.5986	2699.75
491	14.6329	2695.73
492	14.667	2690.15
493	14.7011	2689.43
494	14.7358	2682.92
495	14.7703	2682.91
496	14.8055	2682.32
497	14.8397	2679.95
498	14.8746	2678.62
499	14.9092	2676.71
500	14.9439	2673.51
501	14.9781	2672.72
502	15.0128	2664.08
503	15.0472	2660.32
504	15.0823	2658.83
505	15.1182	2651.08
506	15.1537	2633.22
507	15.1885	2633.03
508	15.2229	2599.53
509	15.2575	2597.88
510	15.2919	2596.08
511	15.3268	2595.42
512	15.3617	2595.4
513	15.3971	2588.35
514	15.4318	2587.87
515	15.467	2514.88
516	15.5019	2514.81
517	15.5372	2514.37
518	15.572	2506.17
519	15.6073	2479.33
520	15.6426	2478.6
521	15.6783	2478.38
522	15.7131	2465.04
523	15.7481	2461.26
524	15.7844	2423.34
525	15.8196	2423.15
526	15.8546	2417.27
527	15.8898	2414.8
528	15.9247	2414.09
529	15.9598	2413.56
530	15.9948	2413.53
531	16.0297	2407.03
532	16.0657	2399.72
533	16.1026	2398.91
534	16.138	2370.74
535	16.1732	2369.48
536	16.2083	2368.69
537	16.2435	2367.67
538	16.2788	2366.43
539	16.314	2366.35
540	16.3493	2359.21
541	16.3848	2359.02
542	16.4214	2346.04
543	16.4568	2344.27
544	16.492	2344.2
545	16.5278	2343.08
546	16.5641	2341.13
547	16.6005	2341.04
548	16.6359	2338.91
549	16.6718	2335.45
550	16.7075	2333.67
551	16.7434	2324.81
552	16.7793	2269.24
553	16.8145	2268.54
554	16.8514	2263.48
555	16.8876	2247.29
556	16.9246	2244.66
557	16.9599	2244.45
558	16.996	2244.33
559	17.0315	2243.68
560	17.0669	2243.25
561	17.1031	2241.7
562	17.1385	2240.06
563	17.1743	2223.68
564	17.2099	2222.87
565	17.2458	2221.39
566	17.2817	2201.7
567	17.3185	2173.33
568	17.3555	2165.42
569	17.3918	2156.29
570	16.8055	2127.44
571	16.8419	2127.3
572	16.8774	2116.21
573	16.9137	2115.47
574	16.9496	2106.66
575	16.9869	2106.6
576	17.0241	2105.27
577	17.0599	2101.49
578	17.096	2098.02
579	17.1319	2096.94
580	17.1675	2094.01
581	17.2034	2093.65
582	17.239	2093.5
583	17.2748	2091.87
584	17.3107	2091.09
586	17.383	2089.29
587	17.4193	2069.08
588	17.4555	2068.41
589	17.4912	2063.74
590	17.529	2062.88
592	17.602	2053.81
593	17.6381	2053.12
594	17.6741	2040.67
595	17.7101	2038.83
596	17.746	2038.57
597	17.7826	2038.45
598	17.8186	2037.21
599	17.855	2036.27
600	17.8912	2036.25
601	17.9285	2036.25
602	17.965	2033.19
603	18.0012	2032.9
604	18.0373	2019.88
605	18.0743	2018.48
606	18.1102	2017.11
607	18.1466	2015.42
609	18.2195	2015.11
610	18.2558	2014.43
611	18.292	2014.39
612	18.3284	2005.81
613	18.3657	2004.43
614	18.4029	1979.42
615	18.4402	1970.81
616	18.4767	1970.81
617	18.5142	1970.65
618	18.5505	1952.93
619	18.5876	1952.3
620	18.6242	1948.3
621	18.6612	1947.78
622	18.6982	1945.95
623	18.7351	1943.61
624	18.7717	1943.09
625	18.8093	1942.42
626	18.8464	1942.25
627	18.8831	1940.9
628	18.9221	1940.86
629	18.9603	1938.37
630	18.9979	1937.3
631	19.0346	1937.16
632	19.0717	1935
633	19.1089	1848.9
634	19.1462	1844.86
635	19.1836	1842.98
636	19.2216	1842.97
637	19.2586	1841.68
638	19.2957	1841.13
639	19.3325	1841.03
641	19.4064	1839.47
642	19.443	1838.9
643	19.4795	1838.62
644	19.5166	1838.41
645	19.5531	1838.38
646	19.5899	1823.57
647	19.6263	1810.13
648	19.6631	1809.56
649	19.6994	1809.16
650	19.7362	1807.85
651	19.773	1802.47
652	19.8102	1802.01
653	19.8474	1798.6
654	19.8866	1782.94
655	19.9239	1779.19
656	19.961	1779.15
657	19.9977	1778.85
658	20.0344	1775.31
659	20.0713	1771.22
660	20.109	1769.88
661	20.1462	1755.27
662	20.1831	1748.46
663	20.2195	1745.28
664	20.2564	1743.85
665	20.293	1725.87
666	20.33	1724.86
667	20.3668	1723.14
668	20.4036	1718.86
669	20.4406	1715.8
670	20.4775	1715.78
671	20.5142	1715.17
672	20.551	1691.14
673	20.5885	1688.15
674	20.6273	1686.49
675	20.6641	1675.79
676	20.7024	1675.65
677	20.7399	1674.83
678	20.7769	1674.79
679	20.8144	1669.57
680	20.8515	1668.1
681	20.8901	1667.69
682	20.9285	1667.08
683	20.9666	1666.84
685	21.0406	1665.57
686	21.0782	1665.48
687	21.1168	1665.12
688	21.1559	1664.74
689	21.1943	1661.98
690	21.2328	1660.92
691	21.2703	1660.85
692	21.308	1656.84
693	21.3467	1656.62
694	21.3853	1656.57
695	21.4235	1655.34
696	21.4607	1654.18
697	21.4982	1654.16
698	21.5351	1650.49
699	21.5731	1649.92
700	21.6106	1648.68
701	21.6489	1648.52
702	21.6862	1647.88
703	21.7238	1646.94
704	21.7609	1646.86
705	21.7979	1642.9
706	21.8353	1642.7
707	21.8726	1641.33
708	21.9099	1639.38
709	21.9476	1623.4
710	21.9853	1621.59
711	22.0227	1617.82
712	22.0606	1610.64
713	22.0981	1606.6
714	22.1364	1605.13
715	22.1743	1603.81
716	22.2126	1603.45
717	22.2502	1600.72
718	22.288	1586.19
719	22.3262	1578.9
720	22.3641	1578.62
721	22.4037	1576.29
722	22.4423	1573.13
723	22.4805	1569.86
724	22.5187	1569.57
725	22.5572	1569.36
726	22.596	1569.32
727	22.6348	1569.26
728	22.6729	1569.17
729	22.7106	1568
730	22.7486	1567.99
731	22.7863	1558.59
732	22.8245	1557.34
733	22.8625	1556.99
734	22.9005	1554.93
735	22.9388	1553.28
736	22.977	1553.04
737	23.0149	1552.76
738	23.0533	1551.94
739	23.0915	1551.73
740	23.1294	1551.36
741	23.1681	1551.26
742	23.2064	1550.11
743	23.2453	1547.17
744	23.2835	1546.68
745	23.3225	1546.5
746	23.3621	1528.3
747	23.4019	1523.36
748	23.4403	1512.22
749	23.4802	1511.76
750	23.5185	1511.44
751	23.5566	1507.88
752	23.5949	1494.35
753	23.6341	1494.24
754	23.6724	1489.76
755	23.7116	1489.52
756	23.7735	1489.06
757	23.8412	1487.15
758	23.8845	1487.04
759	23.924	1486.41
760	23.9645	1486.35
761	24.0028	1485.41
762	24.0412	1482.89
763	24.0798	1479.05
764	24.1182	1439.94
765	24.1566	1438.71
766	24.1961	1432.89
767	24.2351	1431.85
768	24.2745	1426.08
769	24.3145	1426.04
770	24.3537	1426.01
771	24.3935	1425.89
772	24.4325	1425.57
773	24.4724	1425.47
774	24.5128	1425.46
775	24.5516	1405.49
776	24.5916	1405.44
777	24.632	1405.4
778	24.6712	1405.06
779	24.7103	1405.03
780	24.7492	1403.74
781	24.7887	1403.74
782	24.8282	1403.3
783	24.8674	1402.71
784	24.9069	1402.49
785	24.9468	1402.26
786	24.9854	1401.71
787	25.0241	1401.41
788	25.0629	1395.21
789	25.1026	1394.45
790	25.1422	1388.06
791	25.1819	1387.79
792	25.221	1387.15
793	25.2602	1387
794	25.2995	1386.4
795	25.3385	1386.23
796	25.3783	1385.75
797	25.4174	1384.95
798	25.4566	1373.15
799	25.4954	1372.8
800	25.5358	1370.55
801	25.5772	1370.23
802	25.6169	1370.16
803	25.6574	1369.92
804	25.697	1364.38
805	25.7364	1361.12
806	25.7762	1361.01
807	25.8163	1360.65
808	25.8562	1360.42
809	25.897	1359.5
810	25.9361	1358.83
811	25.9754	1358.59
812	26.0148	1356.77
813	26.0545	1356.54
814	26.0949	1356.4
815	26.1355	1342.94
816	26.1751	1342.59
817	26.2151	1342.3
818	26.2547	1342.29
819	26.295	1340.3
820	26.3344	1340.27
821	26.3746	1328.53
822	26.4141	1326.62
823	26.4539	1326.6
824	26.4934	1325.44
825	26.5332	1308.63
826	26.5727	1308.52
828	26.6518	1306.62
