# target=instancias/starrynight.png T=340 iters=5000 K=32 seed=auto
iter	segundos	MSE
0	0.00227056	7859.98
1	0.0282997	7802.38
2	0.0544569	7780.69
3	0.0815593	7759.98
4	0.107885	7726.94
5	0.134597	7685.34
6	0.161065	7669.88
7	0.187588	7669.09
8	0.213892	7662.38
9	0.241331	7629.59
10	0.267333	7623.55
11	0.293496	7607.65
12	0.31998	7564.77
13	0.346506	7498.39
14	0.373659	7441.99
15	0.400642	7399.65
16	0.428972	7398.85
17	0.457607	7389.41
18	0.484438	7389.25
19	0.510685	7377.46
20	0.537127	7369.36
21	0.563509	7369.1
22	0.59063	7367.81
23	0.617577	7362.55
24	0.644715	7342.15
25	0.671824	7341.41
26	0.698913	7338.61
27	0.725487	7335.67
28	0.752378	7306.71
29	0.779333	7249.55
30	0.80657	7218.44
31	0.833692	7192.8
32	0.860879	7172.92
33	0.887603	7172.5
34	0.914979	7142.29
35	0.941632	7131.44
36	0.968307	7114.31
37	0.995677	7110.64
38	1.02346	7072.15
39	1.05069	7059.58
40	1.07785	7041.46
41	1.10558	7033.89
42	1.13364	7028.04
43	1.16174	7014.65
44	1.18898	7014.59
45	1.21642	7004.08
46	1.24387	7002.94
47	1.27149	6981.32
48	1.29891	6977.8
49	1.32657	6947.92
50	1.35416	6947.8
51	1.38179	6940.49
52	1.40941	6931.15
53	1.43757	6909.27
54	1.46553	6896.17
55	1.49346	6880.49
56	1.52088	6874.23
57	1.54833	6869.14
58	1.57649	6846.52
59	1.6046	6830.79
60	1.63261	6795.37
61	1.66023	6786.98
62	1.69017	6783.84
63	1.71851	6759.96
64	1.7463	6747.55
65	1.77387	6730.21
66	1.80337	6728.41
67	1.83167	6724.67
68	1.85975	6700.21
69	1.88842	6699.86
70	1.91735	6696.99
71	1.94669	6674.3
72	1.97552	6662.57
73	2.00376	6648.44
74	2.03297	6631.97
75	2.06147	6629.2
76	2.08948	6609.13
77	2.11698	6594.83
78	2.14649	6590.69
79	2.17487	6529.44
80	2.20318	6518.99
81	2.23198	6501.03
82	2.2606	6489.65
83	2.28944	6471.26
84	2.31747	6458.29
85	2.34599	6458.16
86	2.37476	6451.71
