# target=instancias/starrynight.png T=340 iters=5000 K=32 seed=auto
iter	segundos	MSE
0	0.0024613	6975.5
1	0.0242202	6931.74
2	0.0455495	6924.19
3	0.0692399	6920.6
4	0.0938315	6920.03
5	0.116947	6895.88
6	0.139028	6894.25
7	0.162312	6884.76
8	0.184848	6873.76
9	0.208407	6864.05
10	0.230436	6858.59
11	0.250885	6844.37
12	0.272261	6795.37
13	0.294079	6774.91
14	0.315011	6725.75
15	0.338051	6725.74
16	0.360074	6723.67
17	0.381002	6720.91
18	0.40339	6671.34
19	0.424828	6671.31
20	0.446505	6654.57
21	0.468996	6652.42
22	0.491118	6652.15
23	0.513226	6644.25
24	0.533892	6633.48
25	0.555411	6614.07
26	0.578001	6596.91
27	0.602056	6537.2
28	0.626761	6500.11
29	0.647883	6439.58
30	0.6698	6429.49
31	0.691788	6327.89
32	0.716096	6303.75
33	0.739549	6295.91
34	0.762158	6289.89
35	0.792132	6283.44
36	0.814593	6271.22
37	0.835836	6268.58
38	0.85879	6267.17
39	0.884872	6238.19
40	0.908509	6238.18
41	0.931274	6217.17
42	0.953335	6210.68
43	0.97973	6193.8
44	1.00594	6183.48
45	1.02874	6174.18
46	1.05431	6120.37
47	1.07785	6064.94
48	1.10057	6063.72
49	1.12396	6052.7
50	1.14742	6049.05
51	1.17388	5999.85
52	1.19702	5951.05
53	1.22554	5947.52
54	1.25478	5942.34
55	1.28442	5914.22
56	1.30777	5845.67
57	1.33141	5844.7
58	1.35716	5838.47
59	1.38291	5827.61
60	1.41259	5803.31
61	1.43929	5741.92
62	1.50747	5722.15
63	1.54038	5706.64
64	1.56423	5660.45
65	1.58987	5655.23
66	1.61818	5645.22
67	1.64335	5637.19
68	1.6665	5637.11
69	1.69077	5633.73
70	1.71389	5631.67
71	1.73836	5623.03
72	1.76392	5619.29
73	1.78806	5619.22
74	1.81117	5618.31
75	1.8331	5612.55
76	1.85905	5601.34
77	1.88223	5600.88
78	1.9084	5583.62
79	1.93502	5576.52
80	1.96	5536.68
82	2.00848	5532.75
83	2.03305	5511.39
84	2.05716	5511.26
85	2.07852	5498.8
86	2.10158	5482.74
87	2.12421	5482.05
88	2.15234	5464.78
89	2.17525	5459.31
90	2.20152	5443.33
91	2.22431	5436.51
92	2.24682	5425.2
93	2.27042	5423.01
94	2.30066	5352.51
95	2.32435	5325.38
96	2.34843	5321.76
97	2.37482	5318.18
98	2.39962	5310.62
99	2.42508	5306.64
100	2.44775	5299.85
101	2.47053	5288.84
102	2.49683	5288.82
103	2.52122	5278.44
104	2.54629	5274.44
105	2.56985	5257.35
106	2.59506	5232.94
107	2.62049	5213.2
108	2.65139	5210.99
109	2.67637	5207.04
110	2.69933	5164.18
111	2.72339	5164.12
112	2.74666	5163.88
113	2.77256	5163.47
114	2.79492	5129.46
115	2.81837	5129.45
116	2.84473	5110.36
117	2.86843	5088.86
118	2.89194	5085.78
119	2.91675	5083.2
120	2.9403	4999.95
121	2.96646	4989.39
122	2.99144	4952.48
123	3.01459	4937.24
124	3.0411	4937.05
125	3.06716	4906.87
126	3.09232	4906.17
127	3.11792	4857.19
128	3.14389	4850.47
129	3.1691	4835.12
130	3.19439	4832.32
131	3.22039	4819.81
132	3.24628	4811.92
133	3.27005	4769.47
134	3.2955	4767.73
135	3.3188	4767
136	3.34368	4764.1
137	3.36604	4761.51
138	3.38975	4754.14
139	3.41505	4753.3
140	3.43977	4742.56
141	3.46773	4730.4
142	3.49491	4724.66
143	3.52371	4711.73
144	3.54885	4707.4
145	3.57339	4702.82
146	3.59955	4701.03
147	3.62348	4701.02
148	3.65488	4695.34
149	3.68162	4694.82
150	3.71206	4694.69
151	3.73986	4675.54
152	3.76285	4660.87
153	3.78917	4642.35
154	3.81353	4641.25
155	3.83983	4621.68
156	3.86482	4611.14
157	3.89466	4605.25
158	3.92451	4604.37
159	3.95065	4604.28
160	3.97702	4590.68
161	4.00297	4588.2
162	4.0371	4583.19
163	4.07101	4581.48
164	4.10138	4565.01
165	4.12617	4550.47
166	4.15191	4550.34
167	4.17738	4535.64
168	4.20496	4534.53
169	4.23379	4534.31
170	4.26305	4533.47
171	4.28815	4527.14
172	4.31598	4525.98
173	4.34771	4516.04
174	4.37345	4515.85
175	4.40275	4512.11
176	4.42861	4497.5
177	4.45738	4492.91
178	4.49546	4488.25
179	4.53715	4486.02
180	4.56403	4480.81
181	4.59196	4480.79
182	4.61706	4429.29
183	4.64502	4423.61
184	4.67637	4402.22
185	4.70303	4397.21
186	4.73266	4395.73
187	4.75872	4367.16
188	4.78482	4362.25
189	4.81131	4350.24
190	4.84124	4334.22
191	4.8662	4304.05
192	4.89456	4303.09
193	4.92211	4302.37
194	4.94935	4253.55
195	4.97398	4233.98
196	4.99808	4229.12
197	5.02407	4225.5
198	5.04955	4224.65
199	5.07908	4221.91
200	5.10477	4215.55
201	5.13294	4209.18
202	5.159	4206.28
203	5.18801	4200.63
204	5.21438	4181.92
205	5.24389	4112.35
206	5.27289	4110.18
207	5.30204	4100.83
208	5.33401	4069.88
209	5.36189	4068.17
210	5.39112	4057.27
211	5.41883	4045.6
212	5.44714	4044.69
213	5.47412	4038.7
214	5.51212	4032.78
215	5.56113	4028.9
216	5.61523	4026.52
217	5.65235	4026.46
218	5.69064	4026.43
219	5.71775	4020.47
220	5.74285	4010.26
221	5.76776	4003.74
222	5.79415	4002.05
223	5.82226	3997.78
224	5.8492	3987.09
225	5.87419	3985.84
226	5.90111	3973
227	5.92958	3969.25
228	5.9554	3956.83
229	5.98553	3956.52
230	6.01202	3950.92
231	6.03669	3948.69
232	6.07041	3946.2
233	6.09438	3938.82
234	6.11865	3899.23
235	6.14635	3897.46
236	6.17271	3897.34
237	6.20116	3893.61
238	6.22948	3893.03
239	6.25494	3881.52
240	6.28098	3880.51
241	6.30633	3877.56
242	6.33258	3875.58
243	6.35885	3874.94
244	6.38612	3873.26
245	6.41694	3869.64
246	6.44282	3844.47
247	6.46928	3841.72
248	6.49851	3841.7
249	6.52729	3841.52
250	6.55658	3840.13
251	6.5833	3836.2
252	6.61002	3826.76
253	6.63728	3815
254	6.66336	3814.85
255	6.6918	3814.06
256	6.7184	3805.49
257	6.74652	3801.18
258	6.77672	3795.89
259	6.80253	3794.09
260	6.8322	3783.44
261	6.85715	3783.04
262	6.88464	3726.43
263	6.91365	3726.04
264	6.94181	3725.61
265	6.96654	3700.54
266	6.99352	3696.3
267	7.02104	3695.51
268	7.04913	3683.32
269	7.08081	3672.46
270	7.10714	3665.68
271	7.1347	3662.9
272	7.1633	3661.88
273	7.19561	3652.5
274	7.22094	3637.05
275	7.24871	3633.75
276	7.27735	3628.83
277	7.30436	3627.93
278	7.3306	3625.26
279	7.35639	3621.19
280	7.38337	3604.23
281	7.41678	3596.17
282	7.44322	3574.64
283	7.47093	3574.04
284	7.49691	3562.45
285	7.52425	3549.74
286	7.55093	3546.73
287	7.58065	3540.95
288	7.60681	3540.65
289	7.63514	3525.2
290	7.66183	3517.57
291	7.68787	3507.25
292	7.71447	3493.35
293	7.74228	3492.79
294	7.77036	3490.46
295	7.79676	3489.92
296	7.83079	3482.14
297	7.85676	3481.07
298	7.88546	3479.45
299	7.91513	3465.5
300	7.9434	3465.16
301	7.97444	3457.98
302	8.00027	3454.04
303	8.02859	3448.45
304	8.05603	3438.1
305	8.08183	3436.84
306	8.10657	3435.97
307	8.13255	3432.82
308	8.1624	3425.55
309	8.18954	3424.89
310	8.21447	3423.77
311	8.2399	3423.3
312	8.26652	3423.1
313	8.29898	3416.96
314	8.32702	3414.09
315	8.35589	3412.7
316	8.38424	3411.93
317	8.41086	3409.21
318	8.43773	3399.09
319	8.46634	3374.65
320	8.49701	3365.08
321	8.5236	3336.94
322	8.5523	3330.02
323	8.58166	3328.55
324	8.61179	3325.61
325	8.63819	3323.35
326	8.6667	3323.31
327	8.69743	3320.45
328	8.72484	3307.75
329	8.75324	3303.76
330	8.77982	3303.37
331	8.80755	3301.72
332	8.83348	3300.43
333	8.86289	3289.73
334	8.88884	3284.72
335	8.91821	3279.07
336	8.94884	3272.37
337	8.9743	3271.59
338	9.00219	3270.97
339	9.03323	3269.41
340	9.06002	3260.34
341	9.08813	3234.59
342	9.11475	3234.42
343	9.14236	3233.34
344	9.17287	3231.45
345	9.20043	3230.08
346	9.22943	3229.5
347	9.2568	3228.33
348	9.28339	3201.32
349	9.31057	3199.82
350	9.33795	3197.57
351	9.36796	3190.5
352	9.39494	3179.46
353	9.4225	3141.49
354	9.44916	3119.45
355	9.47585	3119.42
356	9.50577	3111.39
357	9.53296	3110.12
358	9.56183	3109.58
359	9.59041	3109.47
360	9.62022	3080.26
361	9.65113	3080.15
362	9.67824	3075.09
363	9.70473	3066.36
364	9.73239	3061.87
365	9.76505	3057.76
366	9.79148	3047.54
367	9.81944	3013.14
368	9.84843	2982.75
369	9.87644	2966.26
370	9.90614	2962.72
371	9.93347	2927.73
372	9.96222	2921.36
373	9.9901	2919.47
374	10.0189	2917.05
375	10.0486	2913.58
376	10.0822	2906.56
377	10.1111	2903.98
378	10.1418	2901.28
379	10.1701	2888.29
380	10.2001	2888.28
381	10.2281	2887.3
382	10.2559	2886.33
383	10.2834	2886.18
384	10.3112	2879.77
385	10.3455	2878.58
386	10.3726	2816.19
387	10.4003	2805.91
388	10.4333	2805.79
389	10.4664	2802.48
390	10.4933	2801.93
391	10.527	2801.66
392	10.5538	2740.7
393	10.5825	2739.05
394	10.6111	2738.56
395	10.6399	2713.28
396	10.6724	2695.84
397	10.7016	2695.7
398	10.738	2694.47
399	10.7668	2694
400	10.7953	2664.18
401	10.8237	2644.12
402	10.8526	2642.94
403	10.8801	2642.22
404	10.9114	2636.62
405	10.9402	2635.14
406	10.9692	2630.46
407	11.0036	2630.18
408	11.0292	2630.09
409	11.0581	2629.73
410	11.0868	2627.5
411	11.1146	2624.94
412	11.1423	2620.95
413	11.1711	2620.94
414	11.2002	2620.5
415	11.2277	2620.02
416	11.2584	2614.04
417	11.2873	2613.94
418	11.3183	2607.8
419	11.3482	2606.47
420	11.3751	2586.3
422	11.4347	2584.43
423	11.4633	2564.8
424	11.4921	2564.75
425	11.5211	2562.73
426	11.5522	2562.14
427	11.579	2561.16
428	11.6071	2559.54
429	11.6371	2545.76
430	11.6666	2536.7
431	11.7026	2533.48
432	11.7315	2531.8
433	11.7623	2531.37
434	11.7921	2527.32
435	11.8212	2522.62
436	11.8493	2522.51
437	11.8817	2521.99
438	11.9099	2518.14
439	11.9406	2516.62
440	11.9731	2515.72
441	11.9997	2515.54
442	12.0291	2515.39
443	12.0599	2513.3
444	12.0888	2512.59
445	12.1223	2511.83
446	12.1502	2500.39
447	12.1833	2476.08
448	12.2115	2476
449	12.241	2475.17
450	12.2704	2473.4
451	12.3021	2473.22
452	12.3327	2472.98
453	12.3717	2472.69
454	12.3995	2462.13
455	12.429	2461.89
456	12.4599	2461.09
457	12.4902	2457.55
458	12.5215	2456.52
459	12.551	2456.16
460	12.586	2421.6
461	12.6155	2415.4
462	12.6462	2402.78
463	12.6751	2400.95
464	12.7038	2400.14
465	12.7337	2399.59
466	12.769	2397.88
467	12.7976	2323.98
468	12.8288	2319.26
469	12.8582	2316.27
470	12.8877	2315.14
471	12.9181	2313.06
472	12.9477	2308.15
473	12.9769	2281.2
474	13.0058	2280.74
475	13.0345	2279.75
476	13.0631	2277.02
477	13.0922	2276.57
478	13.1233	2274.15
479	13.1534	2273.13
480	13.1827	2271.47
481	13.2103	2271.1
482	13.2397	2270.52
483	13.2691	2269.69
484	13.3001	2268.31
485	13.3298	2267.74
486	13.3605	2266.31
487	13.3896	2266.28
488	13.4214	2263.54
489	13.4526	2262.12
490	13.489	2261.96
491	13.52	2253.37
492	13.5556	2252.24
493	13.5845	2244.46
494	13.6147	2242.51
495	13.6466	2238.78
496	13.6766	2234.15
497	13.7081	2229.44
498	13.7417	2228.38
499	13.7738	2228
500	13.8047	2222.91
501	13.8352	2222.73
502	13.8628	2221.61
503	13.892	2219.51
504	13.9235	2205.81
505	13.9553	2192.68
506	13.9872	2192.45
507	14.0196	2191.94
508	14.0495	2190.38
509	14.0791	2190.32
510	14.1083	2190.26
511	14.1395	2184.54
512	14.1696	2183.69
513	14.2067	2183.53
514	14.2352	2183.46
515	14.2645	2182.57
516	14.2968	2167.87
517	14.3298	2167.54
518	14.3623	2154.8
519	14.3926	2154.42
520	14.4231	2154.34
521	14.4553	2154.31
522	14.4907	2141.18
523	14.5227	2140.58
524	14.5563	2126.89
525	14.5873	2125.43
526	14.621	2125.15
527	14.6512	2123.67
528	14.681	2123.6
529	14.7112	2122.13
530	14.7447	2122.07
531	14.7742	2104.81
532	14.805	2104.69
533	14.8348	2103.69
534	14.8681	2074.12
535	14.8965	2066.28
536	14.9275	2065.61
538	14.9906	2065.28
539	15.0259	2065.2
540	15.0578	2062.87
541	15.0928	2061.87
542	15.1239	2061.05
543	15.155	2059.6
544	15.187	2040.91
545	15.2161	2010.25
546	15.2472	2007.9
547	15.2757	2007.64
548	15.308	1996.97
549	15.3395	1996.27
550	15.3719	1993.99
551	15.4035	1988.28
552	15.4395	1987.14
553	15.4692	1987.06
554	15.5075	1982.07
555	15.5388	1980.79
556	15.5689	1980.7
557	15.6	1980.63
558	15.6306	1969.66
559	15.6594	1968.05
560	15.6887	1967.66
561	15.7179	1962.78
562	15.7468	1962.54
