# target=instancias/starrynight.png T=1000 iters=50000 K=64 seed=auto
iter	segundos	MSE
0	0.00659946	1651.78
1	0.167755	1651.2
2	0.327957	1646.48
3	0.488586	1643.18
4	0.650641	1639.65
5	0.812981	1639.37
6	0.973589	1634.17
7	1.13342	1632.44
8	1.29831	1632.11
9	1.46593	1632.05
10	1.62911	1616.47
11	1.78975	1616.35
12	1.95143	1616.35
13	2.11141	1616.15
14	2.27149	1616.14
15	2.43208	1615.69
16	2.59262	1615.68
17	2.75295	1610.95
18	2.91277	1610.94
19	3.07509	1610.65
20	3.235	1610.46
21	3.39531	1610.15
22	3.55526	1600.04
23	3.7153	1598.96
24	3.87479	1595.26
26	4.19601	1595.22
27	4.35626	1591.63
29	4.67775	1591.63
30	4.8375	1590.02
31	4.99813	1589.61
32	5.15787	1584.96
33	5.32054	1563.76
34	5.48256	1563.76
35	5.64309	1563.73
36	5.80368	1563.7
37	5.96355	1563.25
39	6.28468	1563.13
40	6.44529	1563.13
41	6.60658	1553.87
42	6.76686	1553.36
43	6.92753	1552.68
44	7.08778	1552.49
45	7.24944	1552.48
46	7.41046	1552.31
47	7.57054	1552.19
48	7.7374	1552.18
49	7.90226	1552.15
50	8.06381	1551.98
51	8.22612	1551.77
52	8.38673	1551.77
53	8.54785	1550.54
55	8.8691	1550.5
56	9.0298	1550.29
57	9.19022	1550.15
58	9.35025	1550.14
59	9.51078	1550.13
60	9.67265	1550.13
61	9.83313	1546.66
62	9.9949	1546.52
63	10.1582	1544.58
64	10.3196	1544.57
65	10.4798	1543.36
66	10.6402	1543.31
67	10.8015	1543.23
68	10.9637	1543.23
70	11.2883	1543.21
72	11.619	1543.07
74	11.9405	1543
75	12.1017	1542.8
77	12.423	1542.78
78	12.5831	1542.73
79	12.7434	1541.83
80	12.9044	1541.81
81	13.0657	1540.66
82	13.2278	1537.82
83	13.3906	1537.75
84	13.5525	1537.73
85	13.7133	1536.56
86	13.8749	1535.7
87	14.0347	1535.08
88	14.1974	1533.75
89	14.3587	1533.33
90	14.5242	1533.23
91	14.6875	1533.21
92	14.8543	1524.21
93	15.0178	1522.94
94	15.1809	1522.91
96	15.5062	1522.8
97	15.6685	1522.79
98	15.8299	1518.62
99	15.991	1518.55
100	16.1529	1518.54
101	16.3165	1518.49
102	16.4814	1518.48
103	16.6425	1518.47
104	16.8042	1510.88
105	16.9651	1510.87
106	17.1276	1510.83
107	17.2881	1510.83
108	17.4496	1510.75
109	17.6107	1510.68
110	17.7728	1510.42
111	17.9344	1510.15
112	18.0953	1508.67
114	18.4181	1508.27
115	18.5787	1508.26
116	18.7394	1503.72
117	18.9012	1503.19
118	19.0622	1503.17
119	19.2235	1502.91
120	19.3851	1502.89
121	19.5518	1502.55
122	19.7134	1501.8
123	19.8746	1501.78
124	20.0358	1498.78
125	20.197	1498.75
126	20.3595	1495.52
127	20.5214	1495.29
128	20.6833	1487.3
129	20.8457	1471.38
131	21.1687	1470.81
133	21.4908	1470.78
134	21.6532	1470.77
135	21.8199	1469.97
136	21.9853	1468.25
137	22.147	1468.18
138	22.3074	1468.13
139	22.4682	1467.99
140	22.6301	1467.98
141	22.7916	1467.82
143	23.1127	1463.04
144	23.2738	1463.02
145	23.4355	1462.52
146	23.5974	1462.13
147	23.7581	1462.11
148	23.9198	1462.09
149	24.0819	1461.9
151	24.4067	1461.86
152	24.5683	1455.12
153	24.7298	1454.81
154	24.8914	1453.75
155	25.0526	1453.68
156	25.2145	1453.61
157	25.3738	1453.39
158	25.5358	1453.37
159	25.698	1446.28
160	25.8594	1445.41
161	26.0209	1445
162	26.183	1445
163	26.3455	1434.5
164	26.5071	1434.02
165	26.6714	1434
166	26.8332	1433.99
167	26.9948	1433.94
168	27.1564	1433.9
169	27.3197	1427.5
170	27.4814	1426.29
171	27.6433	1425.68
172	27.8041	1425.65
173	27.9666	1425.42
174	28.1276	1425.42
175	28.2894	1425.24
176	28.453	1425.07
177	28.6145	1417.55
178	28.7769	1417.54
179	28.9432	1415.73
180	29.1048	1415.09
181	29.2671	1415.08
182	29.4286	1415.03
183	29.5905	1415.02
184	29.7534	1413.44
185	27.4417	1412.98
186	27.6036	1411.09
187	27.7663	1410.92
188	27.9284	1404.56
189	28.0898	1404.56
190	28.2514	1404.37
191	28.4132	1404.33
192	28.5745	1404.22
193	28.7364	1404
195	29.0617	1392.52
196	29.2243	1391.24
197	29.3861	1391.02
198	29.548	1390.4
199	29.7103	1389.46
200	29.8713	1388.64
201	30.0322	1388.56
202	30.1941	1387.94
203	30.3565	1384.01
204	30.5187	1383.7
206	30.8419	1383.51
207	31.0038	1383.24
208	31.166	1383.03
209	31.3305	1382.86
210	31.4916	1382.73
211	31.6504	1382.41
212	31.8102	1382.33
213	31.972	1380.98
214	32.1338	1380.96
215	32.2921	1379.62
216	32.4544	1378.75
217	32.616	1378.53
218	32.7781	1378.49
220	33.1013	1378.46
221	33.2628	1378.23
222	33.4246	1378.23
223	33.5898	1360.93
224	33.7513	1360.89
225	33.913	1360.78
226	34.0741	1360.77
227	34.2361	1360.65
228	34.3962	1360.11
229	34.5583	1356.39
230	34.72	1355.69
231	34.882	1355.67
232	35.0421	1355.65
235	35.5278	1354.74
236	35.6894	1354.69
237	35.8524	1354.67
238	36.0161	1353.19
239	36.1781	1350.66
240	36.34	1350.33
241	36.5026	1350.32
242	36.6649	1349.93
243	36.8267	1349.79
244	36.9874	1349.2
245	37.1478	1348.45
246	37.3097	1347.01
247	37.4715	1346.66
248	37.6333	1346.65
249	37.7933	1346.53
250	37.9566	1346.3
251	38.1175	1346.25
252	38.2825	1345.6
253	38.4458	1344.52
254	38.6076	1344.51
255	38.7694	1344.36
256	38.9324	1344.34
257	39.0945	1344.31
258	39.2567	1343
259	39.4191	1339.41
260	39.5813	1339.23
261	39.7427	1339.23
262	39.905	1339.19
263	40.0674	1339.19
264	40.2292	1338.5
265	40.3914	1338.49
266	40.5538	1336.27
267	40.7187	1336.23
268	40.8798	1336.22
269	41.0416	1334.92
270	41.2046	1334.8
271	41.3673	1334.72
272	41.5296	1334.63
273	41.6922	1334.35
274	41.8544	1334.34
275	42.0137	1333.57
276	42.1733	1333.49
277	42.3358	1333.45
279	42.6597	1330.74
280	42.822	1330.74
282	43.1491	1330.62
283	43.3118	1330.53
284	43.4742	1330.1
285	43.6364	1329.94
286	43.7979	1329.93
287	43.961	1329.88
288	44.1228	1324.85
289	44.2854	1324.83
290	44.4511	1324.67
291	44.6141	1324.3
292	44.7774	1323.99
293	44.9395	1323.98
295	45.2608	1323.97
296	45.4291	1323.95
297	45.5929	1323.72
299	45.9178	1323.57
301	46.2415	1323.31
302	46.4036	1323.11
303	46.5664	1322.92
304	46.7294	1322.91
305	46.8918	1322.9
306	47.0542	1321.94
307	47.2171	1321.75
308	47.3796	1320.13
309	47.5421	1319.96
310	47.7043	1310.8
311	47.8689	1310.8
312	48.0325	1310.64
314	48.3588	1310.04
315	48.5216	1310.01
316	48.6837	1309.98
317	48.8466	1309.76
318	49.0092	1309.72
319	49.1711	1307.06
320	49.3335	1307.01
323	49.828	1307
324	49.9908	1306.53
325	50.1544	1306.42
326	50.3176	1306.42
327	50.4793	1305.21
328	50.6419	1296.88
329	50.8043	1296.81
330	50.9667	1296.76
331	51.1287	1296.71
332	51.2911	1296.4
333	51.4546	1296.4
334	51.6162	1296.39
335	51.7769	1295.6
336	51.94	1295.43
337	52.1017	1295.43
338	52.3348	1294.62
339	52.5006	1293
340	52.6631	1292.98
341	52.8259	1292.95
342	52.9875	1292.89
343	53.1496	1292.76
344	53.3125	1291.77
345	53.4745	1291.49
347	53.7973	1291.48
349	54.1204	1291.47
350	54.2836	1291.38
351	54.4458	1290.6
352	54.6092	1290.58
353	54.7722	1290.35
354	54.94	1290.23
355	55.1036	1290.23
356	55.2662	1290.23
357	55.4286	1289.94
358	55.5909	1289.89
359	55.7528	1289.64
360	55.9144	1289.63
361	56.0779	1289.63
362	56.2402	1289.61
364	56.5648	1289.61
365	56.7281	1289.32
366	56.8912	1289.29
367	57.0541	1289.26
368	57.2178	1289.21
369	57.3813	1288.89
370	57.5441	1288.88
371	57.7079	1284.69
372	57.8719	1284.59
373	58.0344	1284.56
374	58.2024	1284.53
375	58.3635	1284.51
376	58.5257	1284.44
377	58.6886	1284.28
378	58.8508	1282.46
379	59.0135	1281.94
380	59.1758	1281.84
381	59.3385	1281.81
382	59.5004	1279.81
383	57.1846	1279.78
384	57.3475	1279.76
385	57.5093	1279.65
386	57.671	1278.65
387	57.8336	1277.01
388	57.9958	1276.45
389	58.1625	1276.44
390	58.3268	1276.38
391	58.4893	1274.9
392	58.6514	1274.82
393	58.8173	1274.61
394	58.9799	1274.36
395	59.1416	1273.42
396	59.3026	1273.35
397	59.4663	1273.32
398	59.63	1273.22
399	59.7926	1273.04
400	59.9547	1272.61
401	60.1176	1272.52
402	60.2798	1272.09
403	60.4423	1272.09
404	60.6051	1269.23
405	60.768	1269.14
406	60.93	1269.04
407	61.0919	1268.98
408	61.2545	1268.84
409	61.4186	1268.73
410	61.581	1267.74
412	61.9074	1267.36
413	62.07	1266.99
414	62.2325	1266.98
415	62.3945	1266.97
416	62.558	1266.52
417	62.7205	1266.36
419	63.0461	1265.99
420	63.2085	1265.99
421	63.3715	1265.98
422	63.5338	1265.73
423	63.6954	1265.24
424	63.8585	1264.87
425	64.0205	1263.53
426	64.1829	1263.29
427	64.3482	1263.27
428	64.5107	1262.91
429	64.6729	1262.89
430	64.8361	1262.8
431	64.9986	1262.76
432	65.1616	1262.68
433	65.3238	1262.62
434	65.4878	1262.59
435	65.6501	1262.53
436	65.8126	1262.52
437	65.9745	1262.49
438	66.1364	1262.44
439	66.2996	1262.36
440	66.4621	1262.28
441	66.6277	1261.94
442	66.7907	1261.59
443	66.9521	1261.31
444	67.1142	1261.3
445	67.2771	1261.29
446	67.438	1260.86
447	67.6016	1260.59
448	67.7639	1260.57
449	67.9267	1260.43
450	68.0898	1260.36
451	68.2505	1260.07
452	68.4119	1259.95
453	68.5745	1259.57
454	68.738	1256.78
455	68.9022	1256.77
456	69.0674	1256.7
457	69.2301	1256.61
458	69.3934	1256.26
459	69.5561	1256.15
460	69.7182	1255.96
461	69.8802	1255.94
462	70.0428	1255.93
463	70.2038	1239.84
464	70.3672	1239.62
465	70.5282	1239.6
466	70.6908	1239.56
467	70.8532	1239.1
468	71.0155	1239.07
469	71.1768	1238.48
470	71.3417	1238.45
471	71.5049	1238.21
472	71.6686	1237.83
473	71.8317	1237.82
474	71.994	1237.33
475	72.1568	1236.76
476	72.3198	1230.74
477	72.4823	1230.73
478	72.6435	1230.72
479	72.8073	1230.53
480	72.9698	1230.24
481	73.1322	1220.05
482	73.2952	1218.23
483	73.4593	1217.54
484	73.6227	1217.54
485	73.7881	1217.45
486	73.9508	1217.42
487	74.1137	1217.35
488	74.2769	1210.29
489	74.4403	1210.2
490	74.6026	1210.14
491	74.7661	1209.95
492	74.9284	1209.88
493	75.0898	1209.79
494	75.2513	1208.42
495	75.4119	1208.35
496	75.5747	1207.61
497	75.7374	1207.51
498	75.8999	1207.47
499	76.0654	1207.45
500	76.2276	1207.11
501	76.3909	1207
502	76.5515	1206.72
503	76.7127	1206.55
504	76.874	1206.05
505	77.0363	1205.98
506	77.2005	1205.98
508	77.5257	1205.62
509	77.6888	1205.55
510	77.8509	1205.14
511	78.0134	1202.7
512	78.1756	1202.69
513	78.3393	1202.36
514	78.5048	1202.3
515	78.6675	1202.28
516	78.8302	1201.98
517	78.9922	1201.97
518	79.1566	1200.93
519	79.3213	1199.45
520	79.4849	1199.44
521	79.6473	1199.04
522	79.8102	1198.54
523	79.9724	1198.52
524	80.1337	1198.5
526	80.457	1198.4
527	80.6197	1197.92
528	80.7858	1197.49
529	80.9502	1197.18
530	81.1136	1197.09
531	81.2756	1197.08
532	81.4382	1196.96
533	81.6013	1193.37
534	81.7649	1193.36
535	81.9284	1186.18
536	82.0915	1183.61
537	82.2539	1183.56
538	82.4168	1183.52
539	82.5798	1183.42
540	82.7441	1181.12
541	82.9069	1181.09
544	83.3994	1175.47
545	83.5626	1170.37
546	83.7258	1169.84
547	83.8882	1169.81
548	84.0519	1167.27
550	84.3776	1128.55
551	84.5405	1127.03
552	84.7032	1124.27
553	84.8651	1124.22
554	85.0273	1124.16
555	85.1884	1124.06
556	85.3511	1124.05
557	85.5152	1124.02
558	85.6791	1123.93
559	85.8417	1123.78
560	86.0046	1123.75
561	86.1659	1123.56
563	86.4916	1123.51
564	86.6548	1123.1
565	86.8182	1122.53
566	86.9808	1122.5
567	87.144	1122.39
568	87.305	1122.32
569	87.4684	1122.12
570	87.6302	1122.06
572	87.9587	1122.06
573	88.1228	1122.03
574	88.2859	1121.82
575	88.4502	1121.75
576	88.6137	1121.12
577	88.7764	1120.9
578	88.9392	1120.75
579	89.1019	1120.74
580	89.2641	1120.21
581	86.9455	1120.21
582	87.11	1119.91
583	87.273	1119.84
584	87.4358	1119.77
585	87.5992	1119.55
586	87.7643	1118.19
587	87.9277	1118.18
588	88.0924	1118.16
589	88.2562	1118.04
590	88.4186	1116.83
591	88.5818	1116.14
592	88.7441	1116.13
593	88.9073	1115.45
594	89.0712	1115.24
596	89.3969	1114.26
